All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Timothy E. Salzman,23,4,0,3,2,"$22,731 ",$988 ,0%,22%,2016
Brandon Evan Greer,8,2,0,2,1,"$22,693 ","$2,837 ",0%,38%,2016
Katherine Neilson,12,6,1,3,2,"$22,647 ","$1,887 ",8%,50%,2016
Glen Scarlett,23,4,3,1,5,"$22,621 ",$984 ,13%,39%,2016
Simon Purdy,11,2,1,1,0,"$22,614 ","$2,056 ",9%,18%,2016
Santiago Medina,30,10,3,3,1,"$22,503 ",$750 ,10%,23%,2016
Daryl J. Stewart,17,2,2,1,3,"$22,490 ","$1,323 ",12%,35%,2016
Lexon Backhaus,32,14,2,1,1,"$22,472 ",$702 ,6%,13%,2016
Raymond Muck,9,3,2,0,2,"$22,461 ","$2,496 ",22%,44%,2016
Ernesto Torres,34,6,3,4,8,"$22,396 ",$659 ,9%,44%,2016
Ernesto Alcoverde,33,11,7,6,3,"$22,393 ",$679 ,21%,48%,2016
Fernando Silva,55,9,1,4,5,"$22,370 ",$407 ,2%,18%,2016
Carlos F. Rodriguez,30,7,1,0,1,"$22,349 ",$745 ,3%,7%,2016
Pablo Rios,23,11,5,4,2,"$22,329 ",$971 ,22%,48%,2016
Sam Q. Logsdon,22,10,0,3,3,"$22,310 ","$1,014 ",0%,27%,2016
Christopher Nuesch,32,6,0,2,6,"$22,306 ",$697 ,0%,25%,2016
Natalie Houle,45,11,1,3,1,"$22,285 ",$495 ,2%,11%,2016
Philip C. Fauchald,25,4,0,1,5,"$22,243 ",$890 ,0%,24%,2016
Jose E. Velez,31,8,4,3,5,"$22,208 ",$716 ,13%,39%,2016
"C. Mark Duncan, Sr.",7,4,2,0,2,"$22,185 ","$3,169 ",29%,57%,2016
Carlton R. Johnston,14,4,3,0,1,"$22,160 ","$1,583 ",21%,29%,2016
Sherry Vanden Berg,16,5,4,3,2,"$22,131 ","$1,383 ",25%,56%,2016
Eric W.D. Sams,29,8,1,2,9,"$22,130 ",$763 ,3%,41%,2016
Guy Kling,29,7,3,2,3,"$22,109 ",$762 ,10%,28%,2016
Jimmy L. Dillion,19,7,3,1,0,"$22,108 ","$1,164 ",16%,21%,2016
Thomas R. McCarthy,11,4,1,0,2,"$22,045 ","$2,004 ",9%,27%,2016
Jerry Joe Greenwell,11,4,2,0,3,"$22,008 ","$2,001 ",18%,45%,2016
Mario Williams,32,12,1,1,2,"$21,970 ",$687 ,3%,13%,2016
C. J. Broussard,33,9,1,4,3,"$21,960 ",$665 ,3%,24%,2016
Kenyon G. Furlong,14,7,1,1,3,"$21,957 ","$1,568 ",7%,36%,2016
Kenneth M. Grisham,3,2,2,1,0,"$21,915 ","$7,305 ",67%,100%,2016
"Raymond Odom, Sr.",22,7,2,4,1,"$21,901 ",$996 ,9%,32%,2016
Darrell Lawson,23,4,3,5,3,"$21,865 ",$951 ,13%,48%,2016
Mike Thompson,31,7,3,4,6,"$21,829 ",$704 ,10%,42%,2016
Margaret Denney,20,9,1,2,1,"$21,800 ","$1,090 ",5%,20%,2016
Daniel Oberholtzer,34,5,5,7,9,"$21,745 ",$640 ,15%,62%,2016
Bobby V. Persad,19,11,1,1,1,"$21,725 ","$1,143 ",5%,16%,2016
Cheryl Shifflett,31,5,3,1,3,"$21,718 ",$701 ,10%,23%,2016
Darcy W. Smith,45,9,1,6,7,"$21,676 ",$482 ,2%,31%,2016
Connie L. Daniels,20,12,0,2,3,"$21,670 ","$1,084 ",0%,25%,2016
William M. Howard,66,12,1,4,5,"$21,644 ",$328 ,2%,15%,2016
Jess S. Alley,22,4,0,4,3,"$21,610 ",$982 ,0%,32%,2016
Lori J. Bourne,30,7,1,0,6,"$21,563 ",$719 ,3%,23%,2016
David Dahl,25,8,2,2,1,"$21,534 ",$861 ,8%,20%,2016
Tirso Rivera,14,3,0,3,3,"$21,512 ","$1,537 ",0%,43%,2016
Tara Neigel,7,2,4,0,0,"$21,494 ","$3,071 ",57%,57%,2016
Earl H. McCormick,38,9,2,1,2,"$21,476 ",$565 ,5%,13%,2016
Juan Carlos Lopez,4,1,1,1,0,"$21,465 ","$5,366 ",25%,50%,2016
Betty L. Ott,22,3,1,2,0,"$21,462 ",$976 ,5%,14%,2016
Garland Goins,14,3,1,3,2,"$21,415 ","$1,530 ",7%,43%,2016
Loren Brocka,38,9,4,6,2,"$21,360 ",$562 ,11%,32%,2016
Arnulfo Araiza,34,6,2,2,3,"$21,355 ",$628 ,6%,21%,2016
Gary Simpson,29,7,6,2,2,"$21,344 ",$736 ,21%,34%,2016
Bobby Sturgeon,32,3,3,4,2,"$21,339 ",$667 ,9%,28%,2016
Justin McKinley,31,12,1,4,4,"$21,270 ",$686 ,3%,29%,2016
Barney Core,19,4,1,1,1,"$21,270 ","$1,119 ",5%,16%,2016
James M. Day,11,6,1,1,4,"$21,269 ","$1,934 ",9%,55%,2016
D. Loring Donegan,14,5,2,1,1,"$21,262 ","$1,519 ",14%,29%,2016
Madelyn Royal,34,4,3,1,6,"$21,243 ",$625 ,9%,29%,2016
Andrew V. Weymes,42,8,2,4,2,"$21,242 ",$506 ,5%,19%,2016
Luis Canchari,21,5,1,1,2,"$21,238 ","$1,011 ",5%,19%,2016
Daniel C. Pitts,9,2,1,3,0,"$21,196 ","$2,355 ",11%,44%,2016
Richard L. Genovese,38,6,1,4,2,"$21,191 ",$558 ,3%,18%,2016
Sal Santoro,9,4,1,3,1,"$21,190 ","$2,354 ",11%,56%,2016
Alexis Biasotto,5,2,2,1,0,"$21,160 ","$4,232 ",40%,60%,2016
Scott M. Schwartz,3,2,1,0,0,"$21,116 ","$7,039 ",33%,33%,2016
Tony Abbott,16,2,1,0,2,"$21,109 ","$1,319 ",6%,19%,2016
Stan Seagle,17,6,1,0,2,"$21,085 ","$1,240 ",6%,18%,2016
William T. Bourne,9,3,1,0,2,"$21,080 ","$2,342 ",11%,33%,2016
Jack Rumsey,20,3,1,4,6,"$21,063 ","$1,053 ",5%,55%,2016
Clay Masters,6,3,2,1,0,"$21,052 ","$3,509 ",33%,50%,2016
Richard L. Markham,60,12,1,2,2,"$20,993 ",$350 ,2%,8%,2016
Khalil Cady,26,7,2,2,4,"$20,976 ",$807 ,8%,31%,2016
Ricardo Rangel,25,4,1,2,6,"$20,935 ",$837 ,4%,36%,2016
Donovan Raymond,53,11,1,2,2,"$20,931 ",$395 ,2%,9%,2016
Michael Shipp,36,6,3,2,4,"$20,918 ",$581 ,8%,25%,2016
Charles E. Brown,24,5,1,0,5,"$20,887 ",$870 ,4%,25%,2016
Boyd Shuldberg,25,3,3,4,2,"$20,868 ",$835 ,12%,36%,2016
Edgar Fornue,24,5,2,6,2,"$20,867 ",$869 ,8%,42%,2016
Alfredo Ronso,15,7,1,2,3,"$20,862 ","$1,391 ",7%,40%,2016
Tami L. Ponshock,18,4,2,2,2,"$20,840 ","$1,158 ",11%,33%,2016
David Rodriguez,77,11,1,2,5,"$20,818 ",$270 ,1%,10%,2016
David M. Gomez-Barraza,16,5,2,0,4,"$20,793 ","$1,300 ",13%,38%,2016
Gillian Andreasen,8,4,2,0,0,"$20,790 ","$2,599 ",25%,25%,2016
Maryann Iacone,23,5,2,0,2,"$20,790 ",$904 ,9%,17%,2016
Allen Gideon,15,3,0,3,3,"$20,787 ","$1,386 ",0%,40%,2016
Anthony Nichols,23,2,2,2,3,"$20,770 ",$903 ,9%,30%,2016
Barbara J. Riley,25,6,4,2,1,"$20,742 ",$830 ,16%,28%,2016
Spencer Don Leddy,14,4,1,2,0,"$20,673 ","$1,477 ",7%,21%,2016
Marcus O'Donnell,17,5,2,1,1,"$20,625 ","$1,213 ",12%,24%,2016
Erin Wilkinson,4,2,2,0,0,"$20,625 ","$5,156 ",50%,50%,2016
John Springer,13,3,2,1,1,"$20,611 ","$1,585 ",15%,31%,2016
Nancy Thornton,35,12,0,1,3,"$20,608 ",$589 ,0%,11%,2016
Stephen S. Sandy,11,1,3,4,0,"$20,607 ","$1,873 ",27%,64%,2016
Dennis J. Manning,17,11,1,3,0,"$20,605 ","$1,212 ",6%,24%,2016
Sebedeo R. Chacon,28,4,2,3,3,"$20,590 ",$735 ,7%,29%,2016
"Jose R. Gonzalez, Sr.",12,4,1,5,1,"$20,565 ","$1,714 ",8%,58%,2016
"George W. Parrish, Jr.",7,2,2,0,1,"$20,555 ","$2,936 ",29%,43%,2016
Claudia S. Rabstein,19,5,1,5,6,"$20,513 ","$1,080 ",5%,63%,2016
J. D. Gordon,21,5,1,0,3,"$20,478 ",$975 ,5%,19%,2016
Joey M. Boutte,15,2,1,2,4,"$20,470 ","$1,365 ",7%,47%,2016
Samuel Morales,30,9,2,0,5,"$20,445 ",$682 ,7%,23%,2016
Harold Joseph,7,1,1,0,0,"$20,430 ","$2,919 ",14%,14%,2016
Thomas Lough,22,5,3,1,1,"$20,402 ",$927 ,14%,23%,2016
Guillermo Frenkel-Santillan,2,2,0,0,0,"$20,345 ","$10,173 ",0%,0%,2016
Merel E. Moore,90,14,1,4,9,"$20,327 ",$226 ,1%,16%,2016
Robert M. Pledge,26,5,1,0,3,"$20,246 ",$779 ,4%,15%,2016
Don Mills,23,5,2,3,3,"$20,243 ",$880 ,9%,35%,2016
"William R. Lewis, Jr.",16,4,1,0,3,"$20,219 ","$1,264 ",6%,25%,2016
Tak Inouye,22,2,1,4,0,"$20,212 ",$919 ,5%,23%,2016
Paul J. Meyer,25,10,3,2,1,"$20,135 ",$805 ,12%,24%,2016
Robert S. Gonzalez,23,5,4,3,1,"$20,122 ",$875 ,17%,35%,2016
Michael D. Hop,39,7,2,4,3,"$20,106 ",$516 ,5%,23%,2016
Jerry Bozzo,28,6,0,2,2,"$20,070 ",$717 ,0%,14%,2016
Marshall T. Campbell,17,9,2,5,0,"$20,069 ","$1,181 ",12%,41%,2016
"Kevin Dove, Jr.",27,8,1,1,3,"$20,028 ",$742 ,4%,19%,2016
Ronnie Robinson,24,11,2,1,2,"$20,010 ",$834 ,8%,21%,2016
Joseph Kasmerski,19,4,2,2,2,"$20,009 ","$1,053 ",11%,32%,2016
Kelly A. Colgan,2,1,1,0,0,"$20,007 ","$10,004 ",50%,50%,2016
James Dimmett,1,1,1,0,0,"$19,980 ","$19,980 ",100%,100%,2016
"Alan Love, Sr.",31,9,1,1,2,"$19,920 ",$643 ,3%,13%,2016
Emmagene K. Schwan,14,2,2,3,2,"$19,910 ","$1,422 ",14%,50%,2016
Shana A. Schiemann,9,4,1,0,2,"$19,878 ","$2,209 ",11%,33%,2016
Ronald Briley,20,4,2,0,1,"$19,875 ",$994 ,10%,15%,2016
Gordon Wells,14,7,1,2,4,"$19,840 ","$1,417 ",7%,50%,2016
Gale Deisley,11,2,2,2,2,"$19,809 ","$1,801 ",18%,55%,2016
Norma Burnam,16,5,2,2,2,"$19,795 ","$1,237 ",13%,38%,2016
William E. Gallagher,12,5,2,1,1,"$19,780 ","$1,648 ",17%,33%,2016
Daniel W. Myers,18,4,4,3,4,"$19,760 ","$1,098 ",22%,61%,2016
Edward Joe Thompson,37,8,2,2,5,"$19,746 ",$534 ,5%,24%,2016
"Bob E. Buskey, III",20,4,2,4,2,"$19,743 ",$987 ,10%,40%,2016
Juan M. Coronel,17,4,1,0,2,"$19,732 ","$1,161 ",6%,18%,2016
Jim Depew,23,6,7,3,1,"$19,723 ",$858 ,30%,48%,2016
Scott B. Clothier,18,5,2,2,1,"$19,716 ","$1,095 ",11%,28%,2016
Candy R. Courtemanche,17,11,2,0,1,"$19,703 ","$1,159 ",12%,18%,2016
Charles P. Cannon,6,2,2,0,0,"$19,685 ","$3,281 ",33%,33%,2016
Donald Yovanovich,7,1,1,1,0,"$19,638 ","$2,805 ",14%,29%,2016
Michael W. Franklin,5,2,2,0,2,"$19,627 ","$3,925 ",40%,80%,2016
Marvin J. Davis,31,11,1,2,1,"$19,615 ",$633 ,3%,13%,2016
Lin Melton,16,7,2,4,1,"$19,555 ","$1,222 ",13%,44%,2016
Jesus J. Enriquez,16,11,3,1,1,"$19,525 ","$1,220 ",19%,31%,2016
Dale R. Nasby,7,1,0,3,1,"$19,520 ","$2,789 ",0%,57%,2016
Michael Weaver,7,2,0,2,0,"$19,520 ","$2,789 ",0%,29%,2016
Kris Fullerton,30,9,1,2,4,"$19,505 ",$650 ,3%,23%,2016
A. Mark Jones,24,7,4,1,1,"$19,504 ",$813 ,17%,25%,2016
Jeremy Boudreaux,16,5,1,4,1,"$19,495 ","$1,218 ",6%,38%,2016
"Richard K. Girdley, Sr.",23,3,1,2,2,"$19,470 ",$847 ,4%,22%,2016
Kenton Scramstad,30,12,3,1,4,"$19,462 ",$649 ,10%,27%,2016
Ralph J. Valdez,22,4,1,4,5,"$19,414 ",$882 ,5%,45%,2016
Rudy D. Ybarra,50,16,8,9,9,"$19,408 ",$388 ,16%,52%,2016
Alvin P. Salinas,24,6,2,6,10,"$19,407 ",$809 ,8%,75%,2016
Thomas D. Vance,3,2,1,2,0,"$19,400 ","$6,467 ",33%,100%,2016
Scott S. Holas,25,3,0,5,3,"$19,393 ",$776 ,0%,32%,2016
Andrew M. Gish,12,2,1,3,3,"$19,391 ","$1,616 ",8%,58%,2016
Luthia Shirley,8,3,2,0,0,"$19,384 ","$2,423 ",25%,25%,2016
"Joseph C Fontenot, Jr",22,10,2,1,0,"$19,362 ",$880 ,9%,14%,2016
Brian J. Pitnick,14,3,2,1,1,"$19,349 ","$1,382 ",14%,29%,2016
Houston Cormier,10,3,1,1,2,"$19,315 ","$1,932 ",10%,40%,2016
Junior L. Coffey,14,5,2,2,1,"$19,250 ","$1,375 ",14%,36%,2016
Silvano M. Gonzalez,38,13,1,5,6,"$19,234 ",$506 ,3%,32%,2016
Shawn A. Marks,43,6,1,6,5,"$19,223 ",$447 ,2%,28%,2016
Candice M. Smith,13,2,1,1,1,"$19,211 ","$1,478 ",8%,23%,2016
Bret Vickery,18,7,2,2,3,"$19,190 ","$1,066 ",11%,39%,2016
"Jose F. Ramirez, Sr.",17,7,1,2,4,"$19,142 ","$1,126 ",6%,41%,2016
Betty Rader-Thompson,14,4,1,2,4,"$19,098 ","$1,364 ",7%,50%,2016
Shelley E. Fitzgerald,10,3,1,1,0,"$19,033 ","$1,903 ",10%,20%,2016
Andy Velez,11,5,4,4,3,"$19,022 ","$1,729 ",36%,100%,2016
Henry Hushelpeck,16,4,2,0,1,"$19,019 ","$1,189 ",13%,19%,2016
Jose Raudales,30,8,4,1,3,"$19,017 ",$634 ,13%,27%,2016
Harlan Bird Rattler,44,12,6,7,7,"$19,014 ",$432 ,14%,45%,2016
Josh Liber,29,10,0,6,4,"$18,998 ",$655 ,0%,34%,2016
"Peter S. Pizzo, Jr.",10,3,2,0,2,"$18,996 ","$1,900 ",20%,40%,2016
Elena Andrade,8,4,3,1,1,"$18,980 ","$2,373 ",38%,63%,2016
Luis Velazquez,21,7,4,3,2,"$18,976 ",$904 ,19%,43%,2016
Joseph Buzzeo,8,1,2,2,3,"$18,967 ","$2,371 ",25%,88%,2016
Darrell W. Bravenec,17,7,1,1,1,"$18,935 ","$1,114 ",6%,18%,2016
Glenn W. Bartholomew,9,2,1,0,0,"$18,915 ","$2,102 ",11%,11%,2016
Robert Rohman,11,2,2,2,0,"$18,876 ","$1,716 ",18%,36%,2016
Tammi S. Faber,29,11,1,1,3,"$18,872 ",$651 ,3%,17%,2016
Geoff Mulcahy,22,6,2,5,1,"$18,860 ",$857 ,9%,36%,2016
Steve A. Capps,8,2,1,2,0,"$18,843 ","$2,355 ",13%,38%,2016
Robert F. White,13,3,1,3,1,"$18,825 ","$1,448 ",8%,38%,2016
Kevin M. Williams,42,9,1,2,1,"$18,800 ",$448 ,2%,10%,2016
Linda L. Richmond,6,2,1,0,0,"$18,800 ","$3,133 ",17%,17%,2016
Jonathan Thomas,9,8,1,2,0,"$18,780 ","$2,087 ",11%,33%,2016
Ronald A. Noland,16,2,3,3,4,"$18,772 ","$1,173 ",19%,63%,2016
Brandon G. Clark,23,6,2,3,4,"$18,756 ",$815 ,9%,39%,2016
Gregory A. Moore,14,4,3,0,4,"$18,750 ","$1,339 ",21%,50%,2016
Richard Faircloth,30,7,1,1,4,"$18,740 ",$625 ,3%,20%,2016
Edwin L Tobin,19,10,2,1,1,"$18,730 ",$986 ,11%,21%,2016
Reed L. Jenkins,39,9,3,3,4,"$18,714 ",$480 ,8%,26%,2016
Jose M. Arroyo,23,8,3,2,4,"$18,703 ",$813 ,13%,39%,2016
Homero Gutierrez,23,8,2,1,2,"$18,700 ",$813 ,9%,22%,2016
"Michael Wright, Jr.",3,2,1,0,0,"$18,695 ","$6,232 ",33%,33%,2016
David W. Vance,14,3,2,1,2,"$18,663 ","$1,333 ",14%,36%,2016
Ernest J. Ledet,50,17,1,1,1,"$18,640 ",$373 ,2%,6%,2016
Mike Horstman,10,5,2,0,4,"$18,620 ","$1,862 ",20%,60%,2016
Barry Hodgson,35,14,1,5,5,"$18,603 ",$532 ,3%,31%,2016
Willette Decker,19,6,4,1,1,"$18,563 ",$977 ,21%,32%,2016
Alex Hernandez,23,8,3,0,1,"$18,498 ",$804 ,13%,17%,2016
Roberto Calvo,19,11,0,1,3,"$18,490 ",$973 ,0%,21%,2016
Victor Rodriguez,17,4,2,2,3,"$18,480 ","$1,087 ",12%,41%,2016
Jennifer A. Hayford- Quinones,26,12,1,1,2,"$18,473 ",$711 ,4%,15%,2016
"James R. Price, Jr.",26,4,1,1,3,"$18,472 ",$710 ,4%,19%,2016
Gordon R. Buehler,12,2,2,2,1,"$18,440 ","$1,537 ",17%,42%,2016
David Ratko,23,2,2,3,5,"$18,409 ",$800 ,9%,43%,2016
Leland Bennett,31,5,2,2,3,"$18,395 ",$593 ,6%,23%,2016
David Anthony Thompson,10,1,1,1,0,"$18,370 ","$1,837 ",10%,20%,2016
Joe E. Lopez,17,7,1,2,2,"$18,360 ","$1,080 ",6%,29%,2016
Linda S. Gaudet,8,4,1,1,2,"$18,350 ","$2,294 ",13%,50%,2016
Ronald Rex Connelly,27,9,1,1,3,"$18,330 ",$679 ,4%,19%,2016
C. Allen Johnson,8,2,0,4,1,"$18,322 ","$2,290 ",0%,63%,2016
Kelvin Vazquez,37,6,1,5,5,"$18,300 ",$495 ,3%,30%,2016
Jose L. Jimenez,22,5,1,1,6,"$18,270 ",$830 ,5%,36%,2016
Nellie O. Pigeau,38,11,2,6,11,"$18,265 ",$481 ,5%,50%,2016
Kenneth R. Smith,14,4,2,1,2,"$18,261 ","$1,304 ",14%,36%,2016
Bobby L. Pate,34,3,2,4,2,"$18,253 ",$537 ,6%,24%,2016
William E. Duvall,18,3,1,4,0,"$18,242 ","$1,013 ",6%,28%,2016
Don Pleterski,10,3,1,0,1,"$18,206 ","$1,821 ",10%,20%,2016
James Cronk,16,6,1,1,3,"$18,180 ","$1,136 ",6%,31%,2016
Chris Steve,13,5,1,0,0,"$18,147 ","$1,396 ",8%,8%,2016
N. Wells-Scott,14,2,1,1,1,"$18,146 ","$1,296 ",7%,21%,2016
Pedro Gomez,38,7,0,2,4,"$18,141 ",$477 ,0%,16%,2016
Lela G. Hanagan,27,8,1,2,3,"$18,140 ",$672 ,4%,22%,2016
Hector Sarmiento,21,5,2,0,0,"$18,130 ",$863 ,10%,10%,2016
Kenneth R. Friedman,14,5,3,0,1,"$18,123 ","$1,295 ",21%,29%,2016
John P. Brown,27,7,4,4,1,"$18,104 ",$671 ,15%,33%,2016
Thomas J. Bazley,23,6,1,1,3,"$18,075 ",$786 ,4%,22%,2016
Jennifer Davis,13,5,1,4,2,"$18,056 ","$1,389 ",8%,54%,2016
"H. Ray Ashford, Sr.",7,6,1,0,3,"$18,050 ","$2,579 ",14%,57%,2016
Jeff K. Story,13,6,1,3,3,"$18,045 ","$1,388 ",8%,54%,2016
Luis R. Dominguez,51,16,0,1,6,"$18,036 ",$354 ,0%,14%,2016
John L. Cooper,8,2,3,2,0,"$18,020 ","$2,253 ",38%,63%,2016
Sam L. Neubuhr,37,9,3,9,8,"$18,019 ",$487 ,8%,54%,2016
Dakota Ashby,17,6,1,0,3,"$18,015 ","$1,060 ",6%,24%,2016
Danny F. Duncan,7,1,2,1,0,"$17,968 ","$2,567 ",29%,43%,2016
Luis O. Colorado,82,16,1,4,3,"$17,961 ",$219 ,1%,10%,2016
John Slater,27,8,6,8,4,"$17,959 ",$665 ,22%,67%,2016
Heather Jones,37,5,2,3,2,"$17,955 ",$485 ,5%,19%,2016
Luania L. Woods,15,4,1,3,3,"$17,944 ","$1,196 ",7%,47%,2016
Nicolas Perez,34,5,1,4,3,"$17,941 ",$528 ,3%,24%,2016
Sharon Simon,24,8,1,0,1,"$17,916 ",$747 ,4%,8%,2016
Sherman S. Mitchell,15,3,2,3,2,"$17,900 ","$1,193 ",13%,47%,2016
Curtis L. Pulliam,26,4,1,3,2,"$17,895 ",$688 ,4%,23%,2016
Noel A. Williams,21,5,0,4,7,"$17,894 ",$852 ,0%,52%,2016
A. Radlie Loney,21,4,1,0,2,"$17,891 ",$852 ,5%,14%,2016
Danny W. Whited,37,10,1,2,3,"$17,866 ",$483 ,3%,16%,2016
John Wiese,20,4,2,1,6,"$17,864 ",$893 ,10%,45%,2016
Floyd Buffalo,33,12,7,4,3,"$17,861 ",$541 ,21%,42%,2016
Rhonda Langley,28,12,1,1,3,"$17,855 ",$638 ,4%,18%,2016
Bruce Towell,9,1,3,1,1,"$17,808 ","$1,979 ",33%,56%,2016
Mark Jensen,39,14,3,0,4,"$17,800 ",$456 ,8%,18%,2016
Bonnie Lynne Peltier,18,5,2,3,2,"$17,785 ",$988 ,11%,39%,2016
Robert A. Cappellucci,16,4,2,1,0,"$17,784 ","$1,112 ",13%,19%,2016
Alvin Encarnacion,39,13,2,3,6,"$17,782 ",$456 ,5%,28%,2016
Roy C. Jones,24,7,0,2,1,"$17,747 ",$739 ,0%,13%,2016
Paula Thomsen,28,13,5,3,6,"$17,740 ",$634 ,18%,50%,2016
Heather Mowers,16,2,3,2,2,"$17,737 ","$1,109 ",19%,44%,2016
Judy Lee Behler,21,7,0,3,3,"$17,703 ",$843 ,0%,29%,2016
"Henry M. Miller, Jr.",11,1,0,1,1,"$17,676 ","$1,607 ",0%,18%,2016
Pablo Schneider,23,5,3,4,3,"$17,672 ",$768 ,13%,43%,2016
Franklin Dorman,17,4,1,3,3,"$17,635 ","$1,037 ",6%,41%,2016
Austin Hinds,17,2,1,0,0,"$17,629 ","$1,037 ",6%,6%,2016
Louis J. DePasquale,33,4,2,2,6,"$17,622 ",$534 ,6%,30%,2016
Winston Cormier,13,5,1,1,2,"$17,620 ","$1,355 ",8%,31%,2016
George Blatchford,16,3,1,2,4,"$17,601 ","$1,100 ",6%,44%,2016
Brent Hrymak,15,3,2,2,0,"$17,591 ","$1,173 ",13%,27%,2016
Nancy McCabe,18,3,0,4,6,"$17,591 ",$977 ,0%,56%,2016
Raphael B. Kissoon,14,8,1,1,0,"$17,540 ","$1,253 ",7%,14%,2016
Dawn Nichole Apperson,21,8,1,4,2,"$17,536 ",$835 ,5%,33%,2016
Mary Lightner,26,11,1,1,2,"$17,525 ",$674 ,4%,15%,2016
Terri L. Thompson,9,3,2,2,1,"$17,500 ","$1,944 ",22%,56%,2016
Mickey Kroger,21,8,0,3,0,"$17,430 ",$830 ,0%,14%,2016
Carl E. Bigelow,8,3,3,0,0,"$17,400 ","$2,175 ",38%,38%,2016
Dustin Murray,20,7,2,1,2,"$17,389 ",$869 ,10%,25%,2016
Jill West,35,9,4,5,8,"$17,381 ",$497 ,11%,49%,2016
Louis A. Bradvica,25,8,1,0,4,"$17,375 ",$695 ,4%,20%,2016
"Alaric Ray LeBlanc, Sr.",18,4,0,3,4,"$17,361 ",$965 ,0%,39%,2016
Frank Davis,27,7,3,4,3,"$17,353 ",$643 ,11%,37%,2016
James R. Doolin,4,1,0,2,1,"$17,340 ","$4,335 ",0%,75%,2016
Patrick Baratta,7,1,3,0,0,"$17,300 ","$2,471 ",43%,43%,2016
Tamara G. Semer,27,4,0,3,7,"$17,298 ",$641 ,0%,37%,2016
Robert W. Leonard,7,2,1,0,1,"$17,285 ","$2,469 ",14%,29%,2016
Malcolm Beveridge,6,2,1,0,1,"$17,261 ","$2,877 ",17%,33%,2016
Manuel Troche,26,7,0,2,6,"$17,255 ",$664 ,0%,31%,2016
Enrique R. Canales,18,2,2,0,1,"$17,197 ",$955 ,11%,17%,2016
Joseph Rideaux,26,6,1,2,2,"$17,185 ",$661 ,4%,19%,2016
Chet Child,21,7,2,4,6,"$17,095 ",$814 ,10%,57%,2016
Max Ubide,12,5,2,0,0,"$17,040 ","$1,420 ",17%,17%,2016
Kendra S. McAllister,53,10,5,8,6,"$17,037 ",$321 ,9%,36%,2016
Kevin Danger,22,4,1,1,2,"$17,008 ",$773 ,5%,18%,2016
Sandra Loseth,16,3,1,2,4,"$16,999 ","$1,062 ",6%,44%,2016
Alberto J. Davila,27,16,2,4,4,"$16,960 ",$628 ,7%,37%,2016
Kathy McNally,21,9,7,3,1,"$16,944 ",$807 ,33%,52%,2016
Tom Steer,10,2,1,3,3,"$16,939 ","$1,694 ",10%,70%,2016
Ryan Stivers,18,7,2,2,1,"$16,924 ",$940 ,11%,28%,2016
Courtney Francis,31,9,1,4,5,"$16,906 ",$545 ,3%,32%,2016
Arturo Romero,21,2,3,4,3,"$16,896 ",$805 ,14%,48%,2016
Gretchen B. Mobberley,5,4,1,0,1,"$16,853 ","$3,371 ",20%,40%,2016
Gary Bowersock,30,4,1,4,3,"$16,848 ",$562 ,3%,27%,2016
Curvin D. Smith,10,3,1,2,0,"$16,843 ","$1,684 ",10%,30%,2016
Doug Howe,29,4,6,4,7,"$16,785 ",$579 ,21%,59%,2016
Edwin C. Cornier,7,4,4,0,1,"$16,760 ","$2,394 ",57%,71%,2016
Marsha D. Schwizer,12,3,0,0,2,"$16,750 ","$1,396 ",0%,17%,2016
Peter D. Pugh,8,5,0,0,1,"$16,737 ","$2,092 ",0%,13%,2016
Paul Fung,17,4,1,2,1,"$16,726 ",$984 ,6%,24%,2016
John B. Secor,12,7,1,1,3,"$16,714 ","$1,393 ",8%,42%,2016
Jose M. Pizarro,25,9,3,3,4,"$16,700 ",$668 ,12%,40%,2016
Stephen Jacobs,7,1,2,3,0,"$16,695 ","$2,385 ",29%,71%,2016
Joaquin E. Garza,19,10,2,1,1,"$16,666 ",$877 ,11%,21%,2016
Brent C. Fontenot,16,4,1,2,2,"$16,650 ","$1,041 ",6%,31%,2016
Timothy A. Gilbert,32,5,2,2,1,"$16,637 ",$520 ,6%,16%,2016
Anthony A. Tyler,21,7,1,2,2,"$16,629 ",$792 ,5%,24%,2016
Stephen R. Wells,8,1,1,0,1,"$16,627 ","$2,078 ",13%,25%,2016
Kevin Peek,6,4,0,2,1,"$16,615 ","$2,769 ",0%,50%,2016
Thomas H. Feebeck,37,5,2,2,4,"$16,501 ",$446 ,5%,22%,2016
Billy Landers,19,6,0,2,5,"$16,454 ",$866 ,0%,37%,2016
Jerry Antonuik,54,6,2,1,3,"$16,440 ",$304 ,4%,11%,2016
Naoise Agnew,17,7,1,0,2,"$16,383 ",$964 ,6%,18%,2016
Emilie Fojan,7,3,2,0,0,"$16,370 ","$2,339 ",29%,29%,2016
Tim L. Anderson,22,7,0,3,2,"$16,344 ",$743 ,0%,23%,2016
Gerald B. Strickland,20,2,1,2,4,"$16,316 ",$816 ,5%,35%,2016
Wayne Slater,37,11,3,11,3,"$16,315 ",$441 ,8%,46%,2016
