All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Joseph Schneider,135,14,6,11,"$176,936 ","$1,311 ",10%,31,23%,2017
Ramon Ramos,182,14,15,18,"$176,594 ",$970 ,8%,47,26%,2017
Abel Mariano,53,7,4,4,"$175,090 ","$3,304 ",13%,15,28%,2017
Gallyn Vick Mitchell,153,12,14,25,"$172,861 ","$1,130 ",8%,51,33%,2017
Melanie Pinto,114,14,25,21,"$171,696 ","$1,506 ",12%,60,53%,2017
Pierre Mailhot,122,15,18,9,"$171,276 ","$1,404 ",12%,42,34%,2017
Daisuke Fukumoto,119,4,7,10,"$170,579 ","$1,433 ",3%,21,18%,2017
Larry Taylor,86,9,12,9,"$165,710 ","$1,927 ",10%,30,35%,2017
Lori Keith,82,11,9,15,"$164,015 ","$2,000 ",13%,35,43%,2017
Armando Martinez,202,15,14,29,"$163,857 ",$811 ,7%,58,29%,2017
Adam Beschizza,39,8,7,8,"$162,850 ","$4,176 ",21%,23,59%,2017
Kelsi Purcell,131,15,23,12,"$162,552 ","$1,241 ",11%,50,38%,2017
Jeffery Burningham,109,8,9,14,"$161,098 ","$1,478 ",7%,31,28%,2017
Victor Escobar,145,15,14,18,"$161,052 ","$1,111 ",10%,47,32%,2017
Isaias Cardenas,161,12,14,18,"$160,785 ",$999 ,7%,44,27%,2017
Neville Stephenson,241,42,35,47,"$160,700 ",$667 ,17%,124,51%,2017
Richard E. Lull,159,21,11,17,"$158,234 ",$995 ,13%,49,31%,2017
Andre Martin,185,12,20,30,"$156,431 ",$846 ,6%,62,34%,2017
Juan C. Leyva,72,5,9,12,"$155,760 ","$2,163 ",7%,26,36%,2017
Howard F. Newell,108,15,16,21,"$155,421 ","$1,439 ",14%,52,48%,2017
Mike T. Luark,274,17,26,35,"$155,310 ",$567 ,6%,78,28%,2017
James A. Bielby,175,15,24,33,"$154,346 ",$882 ,9%,72,41%,2017
Vernon Bush,173,9,12,24,"$154,158 ",$891 ,5%,45,26%,2017
Rito Almanza,100,4,14,10,"$153,768 ","$1,538 ",4%,28,28%,2017
Rodolfo Guerra,149,13,18,21,"$153,058 ","$1,027 ",9%,52,35%,2017
Tyler Pizarro,82,3,10,3,"$152,825 ","$1,864 ",4%,16,20%,2017
Bethany Taylor,182,7,18,17,"$151,232 ",$831 ,4%,42,23%,2017
Brandon Whitacre,192,14,20,21,"$150,859 ",$786 ,7%,55,29%,2017
"Victor Manuel Urieta, Jr.",226,10,16,21,"$150,677 ",$667 ,4%,47,21%,2017
Zack Ziegler,275,24,22,32,"$149,064 ",$542 ,9%,78,28%,2017
Joe Musarro,145,9,20,14,"$148,633 ","$1,025 ",6%,43,30%,2017
Dick Cardenas,56,6,7,7,"$148,603 ","$2,654 ",11%,20,36%,2017
Coby J. Bourque,192,5,17,21,"$148,229 ",$772 ,3%,43,22%,2017
Reynier Arrieta,173,19,18,30,"$147,525 ",$853 ,11%,67,39%,2017
Kali Francois,67,6,9,5,"$147,377 ","$2,200 ",9%,20,30%,2017
Carl S. Williams,133,14,10,19,"$146,744 ","$1,103 ",11%,43,32%,2017
Eder Luis Martinez,128,8,10,17,"$146,546 ","$1,145 ",6%,35,27%,2017
Omar Herrera Santos,118,17,11,16,"$146,230 ","$1,239 ",14%,44,37%,2017
Wladimir Rocha,187,6,8,17,"$146,132 ",$781 ,3%,31,17%,2017
Saul Arias,88,8,3,11,"$144,945 ","$1,647 ",9%,22,25%,2017
Yomar Orlando Ortiz,104,5,9,10,"$143,550 ","$1,380 ",5%,24,23%,2017
Jordano Tunon,108,7,10,14,"$143,348 ","$1,327 ",6%,31,29%,2017
Modesto Linares,59,2,7,4,"$142,971 ","$2,423 ",3%,13,22%,2017
Richard Mitchell,129,6,10,10,"$141,370 ","$1,096 ",5%,26,20%,2017
Weston Hamilton,47,8,5,2,"$141,326 ","$3,007 ",17%,15,32%,2017
Wallynette Rodriguez,93,9,9,9,"$140,608 ","$1,512 ",10%,27,29%,2017
Natasha Coddington,198,13,21,21,"$138,682 ",$700 ,7%,55,28%,2017
Glenmore W. Mayhew,155,12,20,19,"$138,136 ",$891 ,8%,51,33%,2017
Francisco Diaz-Lopez,187,17,18,16,"$137,300 ",$734 ,9%,51,27%,2017
Anthony Stephen,77,15,9,13,"$137,208 ","$1,782 ",19%,37,48%,2017
Blandford Stewart,165,30,28,26,"$136,616 ",$828 ,18%,84,51%,2017
Jairo H. Hernandez,123,3,10,14,"$136,225 ","$1,108 ",2%,27,22%,2017
Lorenzo Castane Lopez,211,13,15,26,"$135,995 ",$645 ,6%,54,26%,2017
Alex Jimenez,75,11,14,6,"$134,180 ","$1,789 ",15%,31,41%,2017
Manuel A. Rosario,82,4,8,9,"$133,504 ","$1,628 ",5%,21,26%,2017
Theodrick Ledet,204,8,12,12,"$133,045 ",$652 ,4%,32,16%,2017
Arturo Aparicio,86,7,10,15,"$132,882 ","$1,545 ",8%,32,37%,2017
Nicholas Meza,106,7,12,9,"$132,194 ","$1,247 ",7%,28,26%,2017
Edwin Soto,77,4,7,15,"$130,767 ","$1,698 ",5%,26,34%,2017
Junior Inirio,181,4,15,13,"$128,505 ",$710 ,2%,32,18%,2017
Domingo Chacaltana,163,5,18,22,"$127,665 ",$783 ,3%,45,28%,2017
Stanley Chadee Jr.,135,17,22,13,"$126,448 ",$937 ,13%,52,39%,2017
Kevin Navarro,135,11,17,19,"$126,285 ",$935 ,8%,47,35%,2017
Ashley L. Kauffman,112,7,15,15,"$126,281 ","$1,128 ",6%,37,33%,2017
Martin Escobar,83,5,6,10,"$125,726 ","$1,515 ",6%,21,25%,2017
Francisco Orduna-Rojas,157,15,17,31,"$125,386 ",$799 ,10%,63,40%,2017
Ivaldo Santana,57,5,7,11,"$125,215 ","$2,197 ",9%,23,40%,2017
Jose Angel Garcia,67,4,10,10,"$124,957 ","$1,865 ",6%,24,36%,2017
Wyatt Louviere,166,5,14,15,"$123,620 ",$745 ,3%,34,20%,2017
Cesar Franco,102,7,14,18,"$123,250 ","$1,208 ",7%,39,38%,2017
E. M. Murray,121,8,11,11,"$122,495 ","$1,012 ",7%,30,25%,2017
Alexis Ortiz,191,5,9,15,"$122,036 ",$639 ,3%,29,15%,2017
Nicolle Disdier,213,8,16,17,"$121,569 ",$571 ,4%,41,19%,2017
Neftali Perez,81,6,7,9,"$121,031 ","$1,494 ",7%,22,27%,2017
Brittany A. Vanden Berg,110,20,16,19,"$120,226 ","$1,093 ",18%,55,50%,2017
David T. Ortiz,197,16,20,19,"$120,117 ",$610 ,8%,55,28%,2017
Scott Sterr,148,29,25,25,"$119,035 ",$804 ,20%,79,53%,2017
Darryll P. Holland,45,2,5,5,"$118,730 ","$2,638 ",4%,12,27%,2017
Jocelyne C. Gomez,56,5,7,6,"$118,405 ","$2,114 ",9%,18,32%,2017
Mario Rodriguez,104,2,9,5,"$118,340 ","$1,138 ",2%,16,15%,2017
Minor Arana,139,9,7,16,"$117,820 ",$848 ,6%,32,23%,2017
Luis Figueroa,112,7,10,12,"$117,299 ","$1,047 ",6%,29,26%,2017
Lenny A. Seecharan,115,6,10,17,"$117,281 ","$1,020 ",5%,33,29%,2017
Jane M. Magrell,84,6,9,7,"$116,280 ","$1,384 ",7%,22,26%,2017
David Boraco,71,7,6,12,"$114,040 ","$1,606 ",10%,25,35%,2017
Brandon Chance Boulanger,108,7,10,11,"$114,005 ","$1,056 ",6%,28,26%,2017
Martin Ramos Ramirez,47,4,6,5,"$113,010 ","$2,404 ",9%,15,32%,2017
Dean Joseph Frates,98,9,10,13,"$112,658 ","$1,150 ",9%,32,33%,2017
Devon Johnson,72,5,3,6,"$112,437 ","$1,562 ",7%,14,19%,2017
Jason Nguyen,42,3,8,8,"$112,348 ","$2,675 ",7%,19,45%,2017
Brooke Stillion,138,13,24,25,"$111,642 ",$809 ,9%,62,45%,2017
Joseph Berrios,149,15,18,22,"$111,608 ",$749 ,10%,55,37%,2017
Damario Bynoe,144,8,12,24,"$110,943 ",$770 ,6%,44,31%,2017
Ruben Lara,68,6,11,8,"$110,823 ","$1,630 ",9%,25,37%,2017
Garrett Steinberg,98,8,7,8,"$109,870 ","$1,121 ",8%,23,23%,2017
Bradley D. Wilson,73,11,9,12,"$109,785 ","$1,504 ",15%,32,44%,2017
Jimmy Ray Coates,101,11,14,13,"$109,119 ","$1,080 ",11%,38,38%,2017
Jose Anibal Hernandez,197,15,12,28,"$108,892 ",$553 ,8%,55,28%,2017
Naim Samaroo,141,36,27,19,"$108,067 ",$766 ,26%,82,58%,2017
Kristopher Robinson,60,7,14,5,"$106,967 ","$1,783 ",12%,26,43%,2017
Marcial Ramirez,122,7,10,17,"$106,620 ",$874 ,6%,34,28%,2017
Jesse A. Lantz,97,4,9,10,"$106,061 ","$1,093 ",4%,23,24%,2017
Jermaine Burke,62,2,1,8,"$105,176 ","$1,696 ",3%,11,18%,2017
Pedro Requena,39,5,9,2,"$104,546 ","$2,681 ",13%,16,41%,2017
Daniel Aguilar,143,18,15,12,"$103,404 ",$723 ,13%,45,31%,2017
Hector M. Santiago,32,5,3,6,"$103,260 ","$3,227 ",16%,14,44%,2017
L. Salvador Martinez,99,10,10,13,"$103,181 ","$1,042 ",10%,33,33%,2017
John C. Berrios,206,7,10,14,"$103,125 ",$501 ,3%,31,15%,2017
Maximo Chilo,125,7,7,9,"$103,070 ",$825 ,6%,23,18%,2017
Isabelle C. Wenc,111,10,3,14,"$102,391 ",$922 ,9%,27,24%,2017
Jose L. Torres,123,10,7,17,"$101,519 ",$825 ,8%,34,28%,2017
Erasmo Martinez,56,8,5,8,"$101,500 ","$1,813 ",14%,21,38%,2017
Francisco Z. Maysonett,116,4,3,7,"$101,337 ",$874 ,3%,14,12%,2017
"Carlos E. Lopez, Jr.",81,4,10,13,"$101,325 ","$1,251 ",5%,27,33%,2017
Celso Rodriguez,73,7,6,8,"$101,145 ","$1,386 ",10%,21,29%,2017
Luis Ramon Rodriguez,129,12,13,16,"$100,010 ",$775 ,9%,41,32%,2017
Javier Rivera,116,5,7,12,"$99,767 ",$860 ,4%,24,21%,2017
Hector Del-Cid,67,6,7,8,"$99,765 ","$1,489 ",9%,21,31%,2017
Mauricio Rodriguez,74,7,4,14,"$99,642 ","$1,347 ",9%,25,34%,2017
Richard Mairs,124,9,17,23,"$99,342 ",$801 ,7%,49,40%,2017
Godofredo Laurente,62,5,8,12,"$98,977 ","$1,596 ",8%,25,40%,2017
Larry Gamez,128,20,15,21,"$98,589 ",$770 ,16%,56,44%,2017
Giorgio Moreno,108,4,2,12,"$96,868 ",$897 ,4%,18,17%,2017
Cecily Evans,121,3,10,9,"$96,292 ",$796 ,2%,22,18%,2017
Sheldon Chickeness,138,10,17,15,"$96,142 ",$697 ,7%,42,30%,2017
Isaac Castillo,31,8,1,5,"$95,982 ","$3,096 ",26%,14,45%,2017
Jose O. Rocha,115,21,21,18,"$94,058 ",$818 ,18%,60,52%,2017
Kerron Khelawan,69,6,6,7,"$93,469 ","$1,355 ",9%,19,28%,2017
Eduard Kennis Rojas Fernandez,75,9,11,7,"$93,280 ","$1,244 ",12%,27,36%,2017
Blake Shinn,34,5,5,4,"$92,316 ","$2,715 ",15%,14,41%,2017
Kelly R. Spanabel,156,13,12,19,"$92,293 ",$592 ,8%,44,28%,2017
Daniel Hernandez,176,5,5,14,"$90,911 ",$517 ,3%,24,14%,2017
Williams Naupac,79,6,13,14,"$90,383 ","$1,144 ",8%,33,42%,2017
Katie Crews,82,5,2,7,"$90,360 ","$1,102 ",6%,14,17%,2017
Gary Wales,87,6,5,13,"$89,718 ","$1,031 ",7%,24,28%,2017
Jenna Joubert,53,3,9,4,"$88,030 ","$1,661 ",6%,16,30%,2017
Juan P. Vargas,67,5,5,9,"$87,288 ","$1,303 ",7%,19,28%,2017
Jorge G. Robles,132,4,12,14,"$86,813 ",$658 ,3%,30,23%,2017
Jose Mariano Asencio,47,6,7,9,"$86,149 ","$1,833 ",13%,22,47%,2017
Miguel A. Sanchez,117,5,18,16,"$85,600 ",$732 ,4%,39,33%,2017
Giorgio Moreno-Herrera,120,10,14,12,"$85,403 ",$712 ,8%,36,30%,2017
Cristina Bonilla,104,4,11,10,"$84,880 ",$816 ,4%,25,24%,2017
Tony Maragh,60,6,3,3,"$84,676 ","$1,411 ",10%,12,20%,2017
Eduardo Gutierrez-Sosa,149,23,39,26,"$84,429 ",$567 ,15%,88,59%,2017
Christian G. Dominguez,38,1,4,6,"$83,285 ","$2,192 ",3%,11,29%,2017
Jose M. Rivera,98,7,9,11,"$81,480 ",$831 ,7%,27,28%,2017
Keivan Serrano,164,6,8,9,"$81,414 ",$496 ,4%,23,14%,2017
Shelbi A. Kurtz,121,6,9,15,"$80,926 ",$669 ,5%,30,25%,2017
Tim Moccasin,122,26,21,17,"$78,888 ",$647 ,21%,64,52%,2017
Carlos Esquilin,106,9,11,9,"$78,629 ",$742 ,8%,29,27%,2017
Don Lee French,278,7,11,24,"$78,424 ",$282 ,3%,42,15%,2017
Albert Dussette,84,5,7,8,"$78,265 ",$932 ,6%,20,24%,2017
Anardis Rodriguez,161,5,19,21,"$78,153 ",$485 ,3%,45,28%,2017
Travis Wales,43,3,4,6,"$77,137 ","$1,794 ",7%,13,30%,2017
Carlos Villasana,68,5,8,9,"$76,576 ","$1,126 ",7%,22,32%,2017
Damon Leeds,94,22,18,19,"$75,486 ",$803 ,23%,59,63%,2017
Jorge L. Vargas,45,4,2,5,"$75,431 ","$1,676 ",9%,11,24%,2017
Jairo Rendon,19,3,3,1,"$75,189 ","$3,957 ",16%,7,37%,2017
Erika Micklos,60,5,4,2,"$75,026 ","$1,250 ",8%,11,18%,2017
Oscar Ulloa,47,2,5,5,"$74,792 ","$1,591 ",4%,12,26%,2017
Michael C. James,112,8,14,11,"$74,615 ",$666 ,7%,33,29%,2017
Vladimir Diaz,60,2,10,7,"$73,074 ","$1,218 ",3%,19,32%,2017
Chester Bonnet,80,6,7,14,"$72,881 ",$911 ,8%,27,34%,2017
Carlos D. Lugo,49,4,7,4,"$72,774 ","$1,485 ",8%,15,31%,2017
Mauro Salcedo,92,7,5,10,"$72,215 ",$785 ,8%,22,24%,2017
Samuel Burgos,183,3,17,21,"$72,041 ",$394 ,2%,41,22%,2017
Caroline Quast,95,3,6,12,"$71,531 ",$753 ,3%,21,22%,2017
Vince J. Guerra,66,5,9,10,"$71,113 ","$1,077 ",8%,24,36%,2017
Jose L. Verenzuela,36,1,3,8,"$71,045 ","$1,973 ",3%,12,33%,2017
Barrington Harvey,77,8,7,12,"$70,861 ",$920 ,10%,27,35%,2017
Brett Birzer,53,3,7,3,"$70,716 ","$1,334 ",6%,13,25%,2017
Martin Ortiz,86,14,17,14,"$70,262 ",$817 ,16%,45,52%,2017
Jodeien Anderson,131,20,26,21,"$69,299 ",$529 ,15%,67,51%,2017
Jesus A. Bracho,23,2,2,5,"$68,859 ","$2,994 ",9%,9,39%,2017
Fanny Crausaz,67,4,2,11,"$68,790 ","$1,027 ",6%,17,25%,2017
Josh M. Romero,61,4,9,10,"$68,549 ","$1,124 ",7%,23,38%,2017
Larris Allen,72,17,15,14,"$68,253 ",$948 ,24%,46,64%,2017
Argelio Velazquez,98,7,10,9,"$67,654 ",$690 ,7%,26,27%,2017
Edgar Payeras,75,5,5,11,"$67,330 ",$898 ,7%,21,28%,2017
Fernando Manuel Gamez,137,20,20,12,"$67,238 ",$491 ,15%,52,38%,2017
"Sylvester Carmouche, III",65,9,8,11,"$66,486 ","$1,023 ",14%,28,43%,2017
Jacqueline Leslie Falk,21,2,4,1,"$65,883 ","$3,137 ",10%,7,33%,2017
Manny Jimenez,39,3,3,6,"$65,220 ","$1,672 ",8%,12,31%,2017
Jean Claude Medina,84,5,3,9,"$65,034 ",$774 ,6%,17,20%,2017
Jose Luis Cruz,14,3,1,2,"$64,720 ","$4,623 ",21%,6,43%,2017
Eric Edwards,103,9,10,16,"$64,245 ",$624 ,9%,35,34%,2017
Grant Whitacre,49,2,9,6,"$64,145 ","$1,309 ",4%,17,35%,2017
Michael Ritvo,14,1,2,0,"$64,070 ","$4,576 ",7%,3,21%,2017
Dalton Brown,44,1,3,3,"$63,753 ","$1,449 ",2%,7,16%,2017
Corrine Andros,69,5,4,2,"$63,294 ",$917 ,7%,11,16%,2017
Jomar Ortega,61,3,5,8,"$63,288 ","$1,038 ",5%,16,26%,2017
Jose Luis Sanchez,49,5,5,5,"$61,667 ","$1,259 ",10%,15,31%,2017
"Jose L. Rivera, Jr.",105,5,9,10,"$61,235 ",$583 ,5%,24,23%,2017
Lanfranco Dettori,1,0,0,0,"$60,000 ","$60,000 ",0%,0,0%,2017
Ryan L. Moore,2,0,0,0,"$60,000 ","$30,000 ",0%,0,0%,2017
Emile Ramsammy,41,1,1,7,"$59,519 ","$1,452 ",2%,9,22%,2017
Dario Dalrymple,71,10,2,13,"$59,507 ",$838 ,14%,25,35%,2017
Scott Williams,31,8,6,1,"$59,093 ","$1,906 ",26%,15,48%,2017
Daniel Feliciano,34,4,4,3,"$58,945 ","$1,734 ",12%,11,32%,2017
Isaac Barahona,60,3,5,5,"$58,357 ",$973 ,5%,13,22%,2017
Jose A. Guerrero,124,17,16,22,"$58,282 ",$470 ,14%,55,44%,2017
Daniel Benavides,76,6,6,6,"$58,027 ",$764 ,8%,18,24%,2017
Salvador Iniguez,74,4,4,6,"$57,695 ",$780 ,5%,14,19%,2017
Connie P. Doll,95,16,14,16,"$57,663 ",$607 ,17%,46,48%,2017
Ajhari Williams,93,6,7,10,"$57,450 ",$618 ,6%,23,25%,2017
Keith A. Austin,62,5,3,5,"$56,715 ",$915 ,8%,13,21%,2017
Luis Flores Gonzalez,124,8,11,12,"$56,647 ",$457 ,6%,31,25%,2017
Phillip Clunis,118,12,20,13,"$56,506 ",$479 ,10%,45,38%,2017
Jose Antonio Figueroa,105,18,15,15,"$56,095 ",$534 ,17%,48,46%,2017
Hiram G. Rivera,12,2,1,1,"$55,800 ","$4,650 ",17%,4,33%,2017
Louis Zacherle,101,16,17,21,"$55,455 ",$549 ,16%,54,53%,2017
Gabriel Garcia,28,2,3,3,"$55,357 ","$1,977 ",7%,8,29%,2017
Duane Michael Salvino,109,16,16,21,"$54,601 ",$501 ,15%,53,49%,2017
Chase Clark,100,5,7,12,"$54,280 ",$543 ,5%,24,24%,2017
Lucas Gutierrez,45,6,5,5,"$53,825 ","$1,196 ",13%,16,36%,2017
Carlos D Camilo,65,2,7,5,"$53,208 ",$819 ,3%,14,22%,2017
J. C. Estrada,117,6,2,5,"$52,800 ",$451 ,5%,13,11%,2017
Rely Carpio,14,3,2,1,"$52,522 ","$3,752 ",21%,6,43%,2017
Jesiere Medina,26,2,2,2,"$52,086 ","$2,003 ",8%,6,23%,2017
Pablo Flores,72,3,4,5,"$51,833 ",$720 ,4%,12,17%,2017
Cathleen J. Garner,60,3,9,9,"$51,698 ",$862 ,5%,21,35%,2017
Nakia Ramirez,44,18,8,4,"$51,487 ","$1,170 ",41%,30,68%,2017
Martin Metcalf,99,3,5,12,"$51,234 ",$518 ,3%,20,20%,2017
Michael L. Wright III,95,2,6,11,"$50,794 ",$535 ,2%,19,20%,2017
Manuel Aguilar,27,2,4,3,"$50,680 ","$1,877 ",7%,9,33%,2017
Alcibiades C. Cortez,64,1,4,3,"$50,317 ",$786 ,2%,8,13%,2017
Chin C. Yang,50,3,7,6,"$49,769 ",$995 ,6%,16,32%,2017
Eliazar T. Vera,63,6,3,2,"$49,201 ",$781 ,10%,11,17%,2017
Jerry Pruitt,53,4,13,8,"$49,135 ",$927 ,8%,25,47%,2017
Kevin Krigger,34,3,2,6,"$48,974 ","$1,440 ",9%,11,32%,2017
Victor Severino,67,2,3,2,"$48,761 ",$728 ,3%,7,10%,2017
Robert M. Hastie,29,1,3,4,"$48,132 ","$1,660 ",3%,8,28%,2017
Danush Sukie,25,2,3,6,"$45,870 ","$1,835 ",8%,11,44%,2017
Johnny Andre Allen,36,5,3,2,"$45,350 ","$1,260 ",14%,10,28%,2017
Ramon Rechy,70,1,3,9,"$45,240 ",$646 ,1%,13,19%,2017
Alfredo Clemente,88,3,6,19,"$45,095 ",$512 ,3%,28,32%,2017
Anselmo Padilla,91,10,5,15,"$45,086 ",$495 ,11%,30,33%,2017
"Luis J. Martinez, Jr.",62,4,7,2,"$45,066 ",$727 ,6%,13,21%,2017
Oral Bennett,124,9,19,22,"$44,862 ",$362 ,7%,50,40%,2017
Shawn Samuel,91,15,11,11,"$44,786 ",$492 ,16%,37,41%,2017
Aimee D. Auger,41,4,0,9,"$44,773 ","$1,092 ",10%,13,32%,2017
Vanessa Romberg,85,3,3,7,"$44,096 ",$519 ,4%,13,15%,2017
Matt S. Garcia,20,2,4,2,"$44,095 ","$2,205 ",10%,8,40%,2017
Tyrone Carter,62,1,1,5,"$43,352 ",$699 ,2%,7,11%,2017
Gary L. Boag,45,3,7,3,"$43,270 ",$962 ,7%,13,29%,2017
Christian J. Olmo,29,3,0,4,"$42,972 ","$1,482 ",10%,7,24%,2017
Eulices Gomez,21,3,2,4,"$42,760 ","$2,036 ",14%,9,43%,2017
Angel Felix,72,5,6,6,"$42,638 ",$592 ,7%,17,24%,2017
Alberto Soto Morales,86,5,6,14,"$42,488 ",$494 ,6%,25,29%,2017
Stacia Elliott,24,3,4,2,"$42,311 ","$1,763 ",13%,9,38%,2017
Juan C. Enriquez,10,2,1,4,"$41,876 ","$4,188 ",20%,7,70%,2017
Ruja Lahoe,58,9,12,14,"$41,864 ",$722 ,16%,35,60%,2017
Katlin E. Bedford,53,2,4,1,"$41,213 ",$778 ,4%,7,13%,2017
Alex Estrada,46,1,3,4,"$40,972 ",$891 ,2%,8,17%,2017
Anthony S. Black,12,1,1,1,"$40,966 ","$3,414 ",8%,3,25%,2017
Garfield Gordon,104,13,5,21,"$40,686 ",$391 ,13%,39,38%,2017
Carlton Malcolm,123,11,11,6,"$40,557 ",$330 ,9%,28,23%,2017
T. L. Collier,19,2,2,5,"$40,373 ","$2,125 ",11%,9,47%,2017
Anthony Medina,54,6,3,5,"$40,271 ",$746 ,11%,14,26%,2017
Reylu Gutierrez,61,1,6,9,"$40,187 ",$659 ,2%,16,26%,2017
Altair Domingos,1,0,0,0,"$40,000 ","$40,000 ",0%,0,0%,2017
"Rafael Rohena, Jr.",65,3,2,6,"$39,999 ",$615 ,5%,11,17%,2017
Jerry J. Diaz,100,4,8,6,"$39,213 ",$392 ,4%,18,18%,2017
Kennel L. Pellot,52,4,6,5,"$39,128 ",$752 ,8%,15,29%,2017
Magdaleno Salazar,38,2,0,3,"$39,036 ","$1,027 ",5%,5,13%,2017
Diego Rodriguez,31,3,0,0,"$38,630 ","$1,246 ",10%,3,10%,2017
Francisco Arrieta,44,1,0,1,"$38,491 ",$875 ,2%,2,5%,2017
Christopher John Baker,22,2,2,0,"$38,313 ","$1,742 ",9%,4,18%,2017
Mathieu G. Adam,76,1,8,9,"$37,925 ",$499 ,1%,18,24%,2017
"Jorge L. Vargas, Jr.",66,1,2,5,"$37,292 ",$565 ,2%,8,12%,2017
J. B. Botello,51,7,9,10,"$36,932 ",$724 ,14%,26,51%,2017
Ryan Barber,27,1,2,3,"$36,099 ","$1,337 ",4%,6,22%,2017
Thomas P. Queally,32,2,4,5,"$36,065 ","$1,127 ",6%,11,34%,2017
Uriel Dominguez,47,11,10,10,"$35,289 ",$751 ,23%,31,66%,2017
Stephanie E. Sheroski,59,4,2,3,"$35,233 ",$597 ,7%,9,15%,2017
Cody Desjarlais,43,12,6,4,"$35,085 ",$816 ,28%,22,51%,2017
Jose Emilio Gomez,37,0,6,9,"$34,953 ",$945 ,0%,15,41%,2017
Donovan Miller,44,1,5,8,"$34,861 ",$792 ,2%,14,32%,2017
"Luis Romero Rivera, Jr.",35,1,2,2,"$34,669 ",$991 ,3%,5,14%,2017
Everton P. Bennett,61,5,3,5,"$33,775 ",$554 ,8%,13,21%,2017
Zachary Bacon,58,6,10,9,"$33,673 ",$581 ,10%,25,43%,2017
Kwame Joseph,45,4,6,3,"$33,609 ",$747 ,9%,13,29%,2017
Cassandra Naupac,23,2,1,1,"$33,385 ","$1,452 ",9%,4,17%,2017
Kathleen Marie Vargas,88,0,3,4,"$33,288 ",$378 ,0%,7,8%,2017
John Cruz,11,3,3,0,"$33,178 ","$3,016 ",27%,6,55%,2017
Ismael Perez,124,1,3,6,"$32,784 ",$264 ,1%,10,8%,2017
Jose Antonio Garcia,10,3,1,0,"$32,375 ","$3,238 ",30%,4,40%,2017
Justine Klaiber,98,6,9,12,"$31,834 ",$325 ,6%,27,28%,2017
Juan Apango,62,5,9,11,"$31,400 ",$506 ,8%,25,40%,2017
Lidio Barrientos,45,1,2,7,"$31,340 ",$696 ,2%,10,22%,2017
Kayla Stra,28,0,4,4,"$31,165 ","$1,113 ",0%,8,29%,2017
Gerry Olguin,19,3,3,2,"$31,164 ","$1,640 ",16%,8,42%,2017
Shawn Spikes,67,1,3,6,"$30,937 ",$462 ,1%,10,15%,2017
Sarah Shaffer,35,1,2,4,"$30,645 ",$876 ,3%,7,20%,2017
Dwight Anthony Lewis,70,2,10,6,"$30,525 ",$436 ,3%,18,26%,2017
Matthew Werner-Hagerty,31,5,5,8,"$30,332 ",$978 ,16%,18,58%,2017
Jorge Rosales,43,4,5,1,"$30,071 ",$699 ,9%,10,23%,2017
Jesus Suarez,9,2,0,4,"$28,865 ","$3,207 ",22%,6,67%,2017
Federico Mata,25,3,2,1,"$28,770 ","$1,151 ",12%,6,24%,2017
Jesus J. Canales,26,8,3,4,"$28,692 ","$1,104 ",31%,15,58%,2017
Cesar Rodriguez,62,3,7,5,"$28,271 ",$456 ,5%,15,24%,2017
Oscar Cervantes,37,4,7,6,"$27,651 ",$747 ,11%,17,46%,2017
Juan De La Cruz,35,2,3,5,"$27,613 ",$789 ,6%,10,29%,2017
Danielle Sorese,35,2,1,3,"$27,516 ",$786 ,6%,6,17%,2017
Jayson Sanchez,94,3,3,7,"$27,504 ",$293 ,3%,13,14%,2017
Michael Ybarra,82,8,12,14,"$27,487 ",$335 ,10%,34,41%,2017
Marco Antonio Vega Moreno,47,2,4,5,"$27,356 ",$582 ,4%,11,23%,2017
Daniel Ruiz Amaya,41,2,3,5,"$27,343 ",$667 ,5%,10,24%,2017
Pedro Flores,31,3,4,1,"$26,768 ",$863 ,10%,8,26%,2017
Skyler Spanabel,39,3,4,8,"$26,666 ",$684 ,8%,15,38%,2017
Luis Alberto Godoy,36,0,7,7,"$26,541 ",$737 ,0%,14,39%,2017
Robert Paz,22,3,0,2,"$26,472 ","$1,203 ",14%,5,23%,2017
Aaron J. Court,27,1,1,1,"$26,409 ",$978 ,4%,3,11%,2017
Andres Patricio Ulloa,24,1,1,1,"$26,305 ","$1,096 ",4%,3,13%,2017
Geovany Garcia,14,2,1,1,"$26,171 ","$1,869 ",14%,4,29%,2017
Benjamin Lewis,85,1,4,4,"$25,926 ",$305 ,1%,9,11%,2017
Michael A. Henry,52,3,1,5,"$25,780 ",$496 ,6%,9,17%,2017
Carl Hebert,29,9,4,2,"$25,689 ",$886 ,31%,15,52%,2017
"Angel Castillo, Jr.",2,1,0,1,"$25,610 ","$12,805 ",50%,2,100%,2017
Freddy Fuentes,47,5,7,6,"$25,596 ",$545 ,11%,18,38%,2017
Eduardo Gallardo,7,2,0,0,"$25,551 ","$3,650 ",29%,2,29%,2017
Talbert Howell,29,0,2,1,"$25,437 ",$877 ,0%,3,10%,2017
