Source: baseball-reference.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,League,Year,RS,RA,RD,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,,,,,,,,,,,,,
CAL,AL,1996,762,943,-181,70,0.339,0.431,0.276,0,,,161,,,,,,,,,,,,,,,
CHC,NL,1996,772,771,1,76,0.32,0.401,0.251,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1996,898,794,104,85,0.36,0.447,0.281,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1996,778,773,5,81,0.331,0.422,0.256,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1996,952,769,183,99,0.369,0.475,0.293,1,1,4,161,,,,,,,,,,,,,,,
COL,NL,1996,961,964,-3,83,0.355,0.472,0.287,0,,,162,,,,,,,,,,,,,,,
DET,AL,1996,783,1103,-320,53,0.323,0.42,0.256,0,,,162,,,,,,,,,,,,,,,
FLA,NL,1996,688,703,-15,80,0.329,0.393,0.257,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1996,753,792,-39,82,0.336,0.397,0.262,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1996,746,786,-40,75,0.332,0.398,0.267,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1996,703,652,51,90,0.316,0.384,0.252,1,5,4,162,,,,,,,,,,,,,,,
MIL,AL,1996,894,899,-5,80,0.353,0.441,0.279,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1996,877,900,-23,78,0.357,0.425,0.288,0,,,162,,,,,,,,,,,,,,,
MON,NL,1996,741,668,73,88,0.327,0.406,0.262,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1996,746,779,-33,71,0.324,0.412,0.27,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1996,871,787,84,92,0.36,0.436,0.288,1,3,1,162,,,,,,,,,,,,,,,
OAK,AL,1996,861,900,-39,78,0.344,0.452,0.265,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1996,650,790,-140,67,0.325,0.387,0.256,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1996,776,833,-57,73,0.329,0.407,0.266,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1996,771,682,89,91,0.338,0.402,0.265,1,4,4,162,,,,,,,,,,,,,,,
SEA,AL,1996,993,895,98,85,0.366,0.484,0.287,0,,,161,,,,,,,,,,,,,,,
SFG,NL,1996,752,862,-110,68,0.331,0.388,0.253,0,,,162,,,,,,,,,,,,,,,
STL,NL,1996,759,706,53,88,0.33,0.407,0.267,1,6,3,162,,,,,,,,,,,,,,,
TEX,AL,1996,928,799,129,90,0.358,0.469,0.284,1,5,4,163,,,,,,,,,,,,,,,
TOR,AL,1996,766,809,-43,74,0.331,0.42,0.259,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1993,767,559,208,104,0.331,0.408,0.262,1,1,3,162,,,,,,,,,,,,,,,
BAL,AL,1993,786,745,41,85,0.346,0.413,0.267,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1993,686,698,-12,80,0.33,0.395,0.264,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1993,684,770,-86,71,0.331,0.38,0.26,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1993,738,739,-1,84,0.325,0.414,0.27,0,,,163,,,,,,,,,,,,,,,
CHW,AL,1993,776,664,112,94,0.338,0.411,0.265,1,4,3,162,,,,,,,,,,,,,,,
CIN,NL,1993,722,785,-63,73,0.324,0.396,0.264,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1993,790,813,-23,76,0.335,0.409,0.275,0,,,162,,,,,,,,,,,,,,,
COL,NL,1993,758,967,-209,67,0.323,0.422,0.273,0,,,162,,,,,,,,,,,,,,,
DET,AL,1993,899,837,62,85,0.362,0.434,0.275,0,,,162,,,,,,,,,,,,,,,
FLA,NL,1993,581,724,-143,64,0.314,0.346,0.248,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1993,716,630,86,85,0.33,0.409,0.267,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1993,675,694,-19,84,0.32,0.397,0.263,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1993,675,662,13,81,0.321,0.383,0.261,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1993,733,792,-59,69,0.328,0.378,0.258,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1993,693,830,-137,71,0.327,0.385,0.264,0,,,162,,,,,,,,,,,,,,,
MON,NL,1993,732,682,50,94,0.326,0.386,0.257,0,,,163,,,,,,,,,,,,,,,
NYM,NL,1993,672,744,-72,59,0.305,0.39,0.248,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1993,821,761,60,88,0.353,0.435,0.279,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1993,715,846,-131,68,0.33,0.394,0.254,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1993,877,740,137,97,0.351,0.426,0.274,1,2,2,162,,,,,,,,,,,,,,,
PIT,NL,1993,707,806,-99,75,0.335,0.393,0.267,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1993,679,772,-93,61,0.312,0.389,0.252,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1993,734,731,3,82,0.339,0.406,0.26,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1993,808,636,172,103,0.34,0.427,0.276,0,,,162,,,,,,,,,,,,,,,
STL,NL,1993,758,744,14,87,0.341,0.395,0.272,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1993,835,751,84,86,0.329,0.431,0.267,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1993,847,742,105,95,0.35,0.436,0.279,1,3,1,162,,,,,,,,,,,,,,,
ATL,NL,1992,682,569,113,98,0.316,0.388,0.254,1,1,2,162,,,,,,,,,,,,,,,
BAL,AL,1992,705,656,49,89,0.34,0.398,0.259,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1992,599,669,-70,73,0.321,0.347,0.246,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1992,579,671,-92,72,0.301,0.338,0.243,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1992,593,624,-31,78,0.307,0.364,0.254,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1992,738,690,48,86,0.336,0.383,0.261,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1992,660,609,51,90,0.328,0.382,0.26,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1992,674,746,-72,76,0.323,0.383,0.266,0,,,162,,,,,,,,,,,,,,,
DET,AL,1992,791,794,-3,75,0.337,0.407,0.256,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1992,608,668,-60,81,0.313,0.359,0.246,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1992,610,667,-57,72,0.315,0.364,0.256,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1992,548,636,-88,63,0.313,0.339,0.248,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1992,740,604,136,92,0.33,0.375,0.268,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1992,747,653,94,90,0.341,0.391,0.277,0,,,162,,,,,,,,,,,,,,,
MON,NL,1992,648,581,67,87,0.313,0.37,0.252,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1992,599,653,-54,72,0.31,0.342,0.235,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1992,733,746,-13,76,0.328,0.406,0.261,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1992,745,672,73,96,0.346,0.386,0.258,1,2,3,162,,,,,,,,,,,,,,,
PHI,NL,1992,686,717,-31,70,0.32,0.377,0.253,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1992,693,595,98,96,0.324,0.381,0.255,1,2,3,162,,,,,,,,,,,,,,,
SDP,NL,1992,617,636,-19,82,0.313,0.386,0.255,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1992,679,799,-120,64,0.323,0.402,0.263,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1992,574,647,-73,72,0.302,0.355,0.244,0,,,162,,,,,,,,,,,,,,,
STL,NL,1992,631,604,27,83,0.323,0.375,0.262,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1992,682,753,-71,77,0.321,0.393,0.25,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1992,780,682,98,96,0.333,0.414,0.263,1,2,1,162,,,,,,,,,,,,,,,
ATL,NL,1991,749,644,105,94,0.328,0.393,0.258,1,3,2,162,,,,,,,,,,,,,,,
BAL,AL,1991,686,796,-110,67,0.319,0.401,0.254,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1991,731,712,19,84,0.34,0.401,0.269,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1991,653,649,4,81,0.314,0.374,0.255,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1991,695,734,-39,77,0.309,0.39,0.253,0,,,160,,,,,,,,,,,,,,,
CHW,AL,1991,758,681,77,87,0.336,0.391,0.262,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1991,689,691,-2,74,0.32,0.403,0.258,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1991,576,759,-183,57,0.313,0.35,0.254,0,,,162,,,,,,,,,,,,,,,
DET,AL,1991,817,794,23,84,0.333,0.416,0.247,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1991,605,717,-112,65,0.309,0.347,0.244,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1991,727,722,5,82,0.328,0.394,0.264,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1991,665,565,100,93,0.326,0.359,0.253,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1991,799,744,55,83,0.336,0.396,0.271,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1991,776,652,124,95,0.344,0.42,0.28,1,2,1,162,,,,,,,,,,,,,,,
MON,NL,1991,579,655,-76,71,0.308,0.357,0.246,0,,,161,,,,,,,,,,,,,,,
NYM,NL,1991,640,646,-6,77,0.317,0.365,0.244,0,,,161,,,,,,,,,,,,,,,
NYY,AL,1991,674,777,-103,71,0.316,0.387,0.256,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1991,760,776,-16,84,0.331,0.389,0.248,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1991,629,680,-51,78,0.303,0.358,0.241,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1991,768,632,136,98,0.338,0.398,0.263,1,1,3,162,,,,,,,,,,,,,,,
SDP,NL,1991,636,646,-10,84,0.31,0.362,0.244,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1991,702,674,28,83,0.328,0.383,0.255,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1991,649,697,-48,75,0.309,0.381,0.246,0,,,162,,,,,,,,,,,,,,,
STL,NL,1991,651,648,3,84,0.322,0.357,0.255,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1991,829,814,15,85,0.341,0.424,0.27,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1991,684,622,62,91,0.322,0.4,0.257,1,4,3,162,,,,,,,,,,,,,,,
ATL,NL,1990,682,821,-139,65,0.311,0.396,0.25,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1990,669,698,-29,76,0.33,0.37,0.245,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1990,699,664,35,88,0.344,0.395,0.272,1,4,3,162,,,,,,,,,,,,,,,
CAL,AL,1990,690,706,-16,80,0.329,0.391,0.26,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1990,690,774,-84,77,0.314,0.392,0.263,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1990,682,633,49,94,0.32,0.379,0.258,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1990,693,597,96,91,0.325,0.399,0.265,1,3,1,162,,,,,,,,,,,,,,,
CLE,AL,1990,732,737,-5,77,0.324,0.391,0.267,0,,,162,,,,,,,,,,,,,,,
DET,AL,1990,750,754,-4,79,0.337,0.409,0.259,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1990,573,656,-83,75,0.313,0.345,0.242,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1990,707,709,-2,75,0.328,0.395,0.267,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1990,728,685,43,86,0.328,0.382,0.262,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1990,732,760,-28,74,0.32,0.384,0.256,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1990,666,729,-63,74,0.324,0.385,0.265,0,,,162,,,,,,,,,,,,,,,
MON,NL,1990,662,598,64,85,0.322,0.37,0.25,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1990,775,613,162,91,0.323,0.408,0.256,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1990,603,749,-146,67,0.3,0.366,0.241,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1990,733,570,163,103,0.336,0.391,0.254,1,1,2,162,,,,,,,,,,,,,,,
PHI,NL,1990,646,729,-83,77,0.327,0.363,0.255,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1990,733,619,114,95,0.33,0.405,0.259,1,2,3,162,,,,,,,,,,,,,,,
SDP,NL,1990,673,673,0,75,0.32,0.38,0.257,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1990,640,680,-40,77,0.333,0.373,0.259,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1990,719,710,9,85,0.323,0.396,0.262,0,,,162,,,,,,,,,,,,,,,
STL,NL,1990,599,698,-99,70,0.32,0.358,0.256,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1990,676,696,-20,83,0.331,0.376,0.259,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1990,767,661,106,86,0.328,0.419,0.265,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1989,584,680,-96,63,0.298,0.35,0.234,0,,,161,,,,,,,,,,,,,,,
BAL,AL,1989,708,686,22,87,0.326,0.379,0.252,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1989,774,735,39,83,0.351,0.403,0.277,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1989,669,578,91,91,0.311,0.386,0.256,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1989,702,623,79,93,0.319,0.387,0.261,1,2,3,162,,,,,,,,,,,,,,,
CHW,AL,1989,693,750,-57,69,0.328,0.383,0.271,0,,,161,,,,,,,,,,,,,,,
CIN,NL,1989,632,691,-59,75,0.309,0.37,0.247,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1989,604,654,-50,73,0.31,0.365,0.245,0,,,162,,,,,,,,,,,,,,,
DET,AL,1989,617,816,-199,59,0.318,0.351,0.242,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1989,647,669,-22,86,0.306,0.345,0.239,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1989,690,635,55,92,0.329,0.373,0.261,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1989,554,536,18,77,0.306,0.339,0.24,0,,,160,,,,,,,,,,,,,,,
MIL,AL,1989,707,679,28,81,0.318,0.382,0.259,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1989,740,738,2,80,0.334,0.402,0.276,0,,,162,,,,,,,,,,,,,,,
MON,NL,1989,632,630,2,81,0.319,0.361,0.247,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1989,683,595,88,87,0.311,0.385,0.246,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1989,698,792,-94,74,0.331,0.391,0.269,0,,,161,,,,,,,,,,,,,,,
OAK,AL,1989,712,576,136,99,0.331,0.381,0.261,1,1,1,162,,,,,,,,,,,,,,,
PHI,NL,1989,629,735,-106,67,0.314,0.364,0.243,0,,,163,,,,,,,,,,,,,,,
PIT,NL,1989,637,680,-43,74,0.311,0.359,0.241,0,,,164,,,,,,,,,,,,,,,
SDP,NL,1989,642,626,16,89,0.319,0.369,0.251,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1989,694,728,-34,73,0.32,0.384,0.257,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1989,699,600,99,92,0.316,0.39,0.25,1,3,2,162,,,,,,,,,,,,,,,
STL,NL,1989,632,608,24,86,0.321,0.363,0.258,0,,,164,,,,,,,,,,,,,,,
TEX,AL,1989,695,714,-19,83,0.326,0.394,0.263,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1989,731,651,80,89,0.323,0.398,0.26,1,4,3,162,,,,,,,,,,,,,,,
ATL,NL,1988,555,741,-186,54,0.298,0.348,0.242,0,,,160,,,,,,,,,,,,,,,
BAL,AL,1988,550,789,-239,54,0.305,0.359,0.238,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1988,813,689,124,89,0.357,0.42,0.283,1,4,3,162,,,,,,,,,,,,,,,
CAL,AL,1988,714,771,-57,75,0.321,0.385,0.261,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1988,660,694,-34,77,0.31,0.383,0.261,0,,,163,,,,,,,,,,,,,,,
CHW,AL,1988,631,757,-126,71,0.303,0.37,0.244,0,,,161,,,,,,,,,,,,,,,
CIN,NL,1988,641,596,45,87,0.309,0.368,0.246,0,,,161,,,,,,,,,,,,,,,
CLE,AL,1988,666,731,-65,78,0.314,0.387,0.261,0,,,162,,,,,,,,,,,,,,,
DET,AL,1988,703,658,45,88,0.324,0.378,0.25,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1988,617,631,-14,82,0.306,0.351,0.244,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1988,704,648,56,84,0.321,0.391,0.259,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1988,628,544,84,94,0.305,0.352,0.248,1,3,1,162,,,,,,,,,,,,,,,
MIL,AL,1988,682,616,66,87,0.314,0.375,0.257,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1988,759,672,87,91,0.34,0.421,0.274,0,,,162,,,,,,,,,,,,,,,
MON,NL,1988,628,592,36,81,0.309,0.373,0.251,0,,,163,,,,,,,,,,,,,,,
NYM,NL,1988,703,532,171,100,0.325,0.396,0.256,1,2,3,160,,,,,,,,,,,,,,,
NYY,AL,1988,772,748,24,85,0.333,0.395,0.263,0,,,161,,,,,,,,,,,,,,,
OAK,AL,1988,800,620,180,104,0.336,0.399,0.263,1,1,2,162,,,,,,,,,,,,,,,
PHI,NL,1988,597,734,-137,65,0.306,0.355,0.239,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1988,651,616,35,85,0.317,0.369,0.247,0,,,160,,,,,,,,,,,,,,,
SDP,NL,1988,594,583,11,83,0.31,0.351,0.247,0,,,161,,,,,,,,,,,,,,,
SEA,AL,1988,664,744,-80,68,0.317,0.398,0.257,0,,,161,,,,,,,,,,,,,,,
SFG,NL,1988,670,626,44,83,0.318,0.368,0.248,0,,,162,,,,,,,,,,,,,,,
STL,NL,1988,578,633,-55,76,0.309,0.337,0.249,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1988,637,735,-98,70,0.32,0.368,0.252,0,,,161,,,,,,,,,,,,,,,
TOR,AL,1988,763,680,83,87,0.332,0.419,0.268,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1987,747,829,-82,69,0.339,0.403,0.258,0,,,161,,,,,,,,,,,,,,,
BAL,AL,1987,729,880,-151,67,0.322,0.418,0.258,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1987,842,825,17,78,0.352,0.43,0.278,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1987,770,803,-33,75,0.326,0.401,0.252,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1987,720,801,-81,76,0.326,0.432,0.264,0,,,161,,,,,,,,,,,,,,,
CHW,AL,1987,748,746,2,77,0.319,0.415,0.258,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1987,783,752,31,84,0.33,0.427,0.266,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1987,742,957,-215,61,0.324,0.422,0.263,0,,,162,,,,,,,,,,,,,,,
DET,AL,1987,896,735,161,98,0.349,0.451,0.272,1,1,3,162,,,,,,,,,,,,,,,
HOU,NL,1987,648,678,-30,76,0.318,0.373,0.253,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1987,715,691,24,83,0.328,0.412,0.262,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1987,635,675,-40,73,0.309,0.371,0.252,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1987,862,817,45,91,0.346,0.428,0.276,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1987,786,806,-20,85,0.328,0.43,0.261,1,4,1,162,,,,,,,,,,,,,,,
MON,NL,1987,741,720,21,91,0.328,0.401,0.265,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1987,823,698,125,92,0.339,0.434,0.268,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1987,788,758,30,89,0.336,0.418,0.262,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1987,806,789,17,81,0.333,0.428,0.26,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1987,702,749,-47,80,0.327,0.41,0.254,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1987,723,744,-21,80,0.33,0.403,0.264,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1987,668,763,-95,65,0.332,0.378,0.26,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1987,760,801,-41,78,0.335,0.428,0.272,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1987,783,669,114,90,0.324,0.43,0.26,1,3,3,162,,,,,,,,,,,,,,,
STL,NL,1987,798,693,105,95,0.34,0.378,0.263,1,2,2,162,,,,,,,,,,,,,,,
TEX,AL,1987,823,849,-26,75,0.333,0.43,0.266,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1987,845,655,190,96,0.336,0.446,0.269,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1986,615,719,-104,72,0.319,0.381,0.25,0,,,161,,,,,,,,,,,,,,,
BAL,AL,1986,708,760,-52,73,0.327,0.395,0.258,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1986,794,696,98,95,0.346,0.415,0.271,1,3,2,161,,,,,,,,,,,,,,,
CAL,AL,1986,786,684,102,92,0.338,0.404,0.255,1,4,3,162,,,,,,,,,,,,,,,
CHC,NL,1986,680,781,-101,70,0.318,0.398,0.256,0,,,160,,,,,,,,,,,,,,,
CHW,AL,1986,644,699,-55,72,0.31,0.363,0.247,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1986,732,717,15,86,0.325,0.387,0.254,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1986,831,841,-10,84,0.337,0.43,0.284,0,,,163,,,,,,,,,,,,,,,
DET,AL,1986,798,714,84,87,0.338,0.424,0.263,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1986,654,569,85,96,0.322,0.381,0.255,1,2,3,162,,,,,,,,,,,,,,,
KCR,AL,1986,654,673,-19,76,0.313,0.39,0.252,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1986,638,679,-41,73,0.313,0.37,0.251,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1986,667,734,-67,77,0.321,0.385,0.255,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1986,741,839,-98,71,0.325,0.428,0.261,0,,,162,,,,,,,,,,,,,,,
MON,NL,1986,637,688,-51,78,0.322,0.379,0.254,0,,,161,,,,,,,,,,,,,,,
NYM,NL,1986,783,578,205,108,0.339,0.401,0.263,1,1,1,162,,,,,,,,,,,,,,,
NYY,AL,1986,797,738,59,90,0.347,0.43,0.271,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1986,731,760,-29,76,0.322,0.39,0.252,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1986,739,713,26,86,0.327,0.4,0.253,0,,,161,,,,,,,,,,,,,,,
PIT,NL,1986,663,700,-37,64,0.321,0.374,0.25,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1986,656,723,-67,74,0.321,0.388,0.261,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1986,718,835,-117,67,0.326,0.399,0.253,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1986,698,618,80,83,0.322,0.375,0.253,0,,,162,,,,,,,,,,,,,,,
STL,NL,1986,601,611,-10,79,0.309,0.327,0.236,0,,,161,,,,,,,,,,,,,,,
TEX,AL,1986,771,743,28,87,0.331,0.428,0.267,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1986,809,733,76,86,0.329,0.427,0.269,0,,,163,,,,,,,,,,,,,,,
ATL,NL,1985,632,781,-149,66,0.315,0.363,0.246,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1985,818,764,54,83,0.336,0.43,0.263,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1985,800,720,80,81,0.347,0.429,0.282,0,,,163,,,,,,,,,,,,,,,
CAL,AL,1985,732,703,29,90,0.333,0.386,0.251,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1985,686,729,-43,77,0.324,0.39,0.254,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1985,736,720,16,85,0.315,0.392,0.253,0,,,163,,,,,,,,,,,,,,,
CIN,NL,1985,677,666,11,89,0.327,0.376,0.255,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1985,729,861,-132,60,0.324,0.385,0.265,0,,,162,,,,,,,,,,,,,,,
DET,AL,1985,729,688,41,84,0.318,0.424,0.253,0,,,161,,,,,,,,,,,,,,,
HOU,NL,1985,706,691,15,83,0.319,0.388,0.261,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1985,687,639,48,91,0.313,0.401,0.252,1,4,1,162,,,,,,,,,,,,,,,
LAD,NL,1985,682,579,103,95,0.328,0.382,0.261,1,3,3,162,,,,,,,,,,,,,,,
MIL,AL,1985,690,802,-112,71,0.319,0.379,0.263,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1985,705,782,-77,77,0.326,0.407,0.264,0,,,162,,,,,,,,,,,,,,,
MON,NL,1985,633,636,-3,84,0.31,0.375,0.247,0,,,161,,,,,,,,,,,,,,,
NYM,NL,1985,695,568,127,98,0.323,0.385,0.257,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1985,839,660,179,97,0.344,0.425,0.267,0,,,161,,,,,,,,,,,,,,,
OAK,AL,1985,757,787,-30,77,0.325,0.401,0.264,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1985,667,673,-6,75,0.312,0.383,0.245,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1985,568,708,-140,57,0.311,0.347,0.247,0,,,161,,,,,,,,,,,,,,,
SDP,NL,1985,650,622,28,83,0.32,0.368,0.255,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1985,719,818,-99,74,0.326,0.412,0.255,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1985,556,674,-118,62,0.299,0.348,0.233,0,,,162,,,,,,,,,,,,,,,
STL,NL,1985,747,572,175,101,0.335,0.379,0.264,1,1,2,162,,,,,,,,,,,,,,,
TEX,AL,1985,617,785,-168,62,0.322,0.381,0.253,0,,,161,,,,,,,,,,,,,,,
TOR,AL,1985,759,588,171,99,0.331,0.425,0.269,1,2,3,161,,,,,,,,,,,,,,,
ATL,NL,1984,632,655,-23,80,0.317,0.361,0.247,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1984,681,667,14,85,0.328,0.391,0.252,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1984,810,764,46,86,0.341,0.441,0.283,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1984,696,697,-1,81,0.319,0.381,0.249,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1984,762,658,104,96,0.331,0.397,0.26,1,2,3,161,,,,,,,,,,,,,,,
CHW,AL,1984,679,736,-57,74,0.314,0.395,0.247,0,,,162,,,,,,,,,,,,,,,
