All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Wade Eno,55,16,1,6,7,"$26,585 ",$483 ,2%,25%,2017
Eduardo L. Rich,7,2,1,2,1,"$26,582 ","$3,797 ",14%,57%,2017
Saul McHugh,28,12,0,3,1,"$26,563 ",$949 ,0%,14%,2017
Grady Thompson,50,7,3,5,5,"$26,469 ",$529 ,6%,26%,2017
Dalton Dieter,53,9,1,9,10,"$26,447 ",$499 ,2%,38%,2017
Dean Greenman,13,5,3,0,4,"$26,440 ","$2,034 ",23%,54%,2017
Scott Freeman,44,9,3,3,6,"$26,400 ",$600 ,7%,27%,2017
A. Mark Jones,34,5,4,3,6,"$26,389 ",$776 ,12%,38%,2017
Marshall T. Campbell,36,11,1,3,5,"$26,366 ",$732 ,3%,25%,2017
Shelly Crowe,23,4,3,3,2,"$26,351 ","$1,146 ",13%,35%,2017
Wayne E. Sparling,43,7,2,2,5,"$26,274 ",$611 ,5%,21%,2017
James Wyness,51,10,4,1,4,"$26,257 ",$515 ,8%,18%,2017
Chet Child,26,8,6,3,4,"$26,254 ","$1,010 ",23%,50%,2017
Mike Tourangeau,62,20,8,11,9,"$26,253 ",$423 ,13%,45%,2017
Marcos A. Serrano,38,9,3,4,5,"$26,237 ",$690 ,8%,32%,2017
Shane Miller,35,12,1,1,2,"$26,219 ",$749 ,3%,11%,2017
David Dahl,15,3,2,1,2,"$26,203 ","$1,747 ",13%,33%,2017
Charles H. Kieser,76,11,1,2,5,"$26,195 ",$345 ,1%,11%,2017
Paula Thomsen,38,14,6,8,3,"$26,146 ",$688 ,16%,45%,2017
Norris Davidson,25,4,1,2,3,"$26,143 ","$1,046 ",4%,24%,2017
Cresencio Arceo,24,6,4,2,2,"$26,114 ","$1,088 ",17%,33%,2017
Juan A. Ojeda,31,8,1,5,9,"$26,061 ",$841 ,3%,48%,2017
"Raymond Odom, Sr.",21,7,4,3,1,"$26,028 ","$1,239 ",19%,38%,2017
Gerald Chatterton,35,7,0,9,2,"$26,015 ",$743 ,0%,31%,2017
Joseph A. Eff,16,2,0,2,4,"$25,970 ","$1,623 ",0%,38%,2017
Ron Raver,29,5,2,7,4,"$25,960 ",$895 ,7%,45%,2017
Ronald Keith Kinmon,28,6,1,5,3,"$25,932 ",$926 ,4%,32%,2017
Richard Dean Bliss,44,10,6,5,5,"$25,913 ",$589 ,14%,36%,2017
Vernon J. Allinson,13,2,1,2,3,"$25,900 ","$1,992 ",8%,46%,2017
Donald R. Grego,6,3,1,2,0,"$25,875 ","$4,313 ",17%,50%,2017
Miguel A. Fernandez,31,8,0,1,4,"$25,866 ",$834 ,0%,16%,2017
Frank Cifarelli,46,8,1,2,3,"$25,829 ",$562 ,2%,13%,2017
"David J. Boyer, Jr.",20,2,1,2,2,"$25,763 ","$1,288 ",5%,25%,2017
James M. Casey,6,3,1,0,1,"$25,740 ","$4,290 ",17%,33%,2017
"Jaime G. Aldavaz, Sr.",36,8,1,5,6,"$25,722 ",$715 ,3%,33%,2017
Cynthia S. Wever,15,3,2,3,2,"$25,716 ","$1,714 ",13%,47%,2017
Fenneka T. Bentley,8,3,2,2,0,"$25,692 ","$3,212 ",25%,50%,2017
Dean Martin,16,7,7,2,1,"$25,624 ","$1,602 ",44%,63%,2017
Junior Dolphus,53,15,11,7,8,"$25,601 ",$483 ,21%,49%,2017
"William Yates Jones, Jr.",11,2,1,0,1,"$25,566 ","$2,324 ",9%,18%,2017
Joel Zawitz,33,8,1,1,3,"$25,554 ",$774 ,3%,15%,2017
Sara E. Kopecki,28,7,1,2,3,"$25,539 ",$912 ,4%,21%,2017
Joanna Lambert,23,5,2,4,4,"$25,538 ","$1,110 ",9%,43%,2017
Stacy Lane Hendry,19,8,0,5,1,"$25,520 ","$1,343 ",0%,32%,2017
Mark Tomczak,35,7,1,1,2,"$25,502 ",$729 ,3%,11%,2017
Matthew Lewis Edwards,16,3,1,3,5,"$25,488 ","$1,593 ",6%,56%,2017
Susan Radulski,19,4,1,1,3,"$25,488 ","$1,341 ",5%,26%,2017
Suzanne G. Evans,21,6,1,3,1,"$25,477 ","$1,213 ",5%,24%,2017
Randy O. Thompson,13,1,1,3,0,"$25,442 ","$1,957 ",8%,31%,2017
Sherry Finch,38,9,1,4,3,"$25,433 ",$669 ,3%,21%,2017
Jerry F. Puertas,29,5,2,3,6,"$25,415 ",$876 ,7%,38%,2017
Merlin Marechal,22,5,2,3,1,"$25,355 ","$1,153 ",9%,27%,2017
Nancy S. Knott,6,2,2,1,0,"$25,335 ","$4,223 ",33%,50%,2017
Laura S. Roadcap,23,4,1,1,2,"$25,240 ","$1,097 ",4%,17%,2017
Mankumar Mohindee,25,4,5,4,4,"$25,200 ","$1,008 ",20%,52%,2017
Jay L. Armstrong,12,3,2,1,2,"$25,197 ","$2,100 ",17%,42%,2017
Roger E. Burton,16,4,1,1,3,"$25,162 ","$1,573 ",6%,31%,2017
Osborne Smith,62,18,3,2,6,"$25,124 ",$405 ,5%,18%,2017
Hubert Pilon,37,10,9,5,9,"$25,108 ",$679 ,24%,62%,2017
Jorge Fuller-Vargas,19,6,2,1,2,"$25,095 ","$1,321 ",11%,26%,2017
Bryce Gale,39,10,4,2,7,"$25,087 ",$643 ,10%,33%,2017
Terry Knight,14,5,2,1,2,"$24,987 ","$1,785 ",14%,36%,2017
Paul Douglas Fout,4,3,1,0,0,"$24,860 ","$6,215 ",25%,25%,2017
Amalia B. Cox,9,2,4,0,1,"$24,846 ","$2,761 ",44%,56%,2017
Daryl G. Ezra,37,7,0,5,9,"$24,833 ",$671 ,0%,38%,2017
Moises Diaz,54,9,2,2,10,"$24,830 ",$460 ,4%,26%,2017
Keith Hanna,17,4,3,6,2,"$24,823 ","$1,460 ",18%,65%,2017
Fernando Parilli,1,1,0,1,0,"$24,800 ","$24,800 ",0%,100%,2017
Chad Ladner,17,5,1,2,1,"$24,795 ","$1,459 ",6%,24%,2017
Clifford Dodson,43,14,1,2,3,"$24,793 ",$577 ,2%,14%,2017
Mark Eagan,44,8,0,5,3,"$24,772 ",$563 ,0%,18%,2017
Michael Mareina,18,9,1,0,1,"$24,771 ","$1,376 ",6%,11%,2017
Jose Fernandez,11,7,1,0,2,"$24,767 ","$2,252 ",9%,27%,2017
Jim Depew,36,7,5,5,11,"$24,762 ",$688 ,14%,58%,2017
Jose Dolores Camacho,25,6,4,2,4,"$24,757 ",$990 ,16%,40%,2017
Carl Lausten,25,4,1,1,6,"$24,755 ",$990 ,4%,32%,2017
Ron Baird,13,4,3,2,0,"$24,749 ","$1,904 ",23%,38%,2017
N. Wells-Scott,26,4,1,0,5,"$24,695 ",$950 ,4%,23%,2017
Gary F. House,23,8,2,1,6,"$24,684 ","$1,073 ",9%,39%,2017
Jim Tucker,40,9,3,2,10,"$24,618 ",$615 ,8%,38%,2017
Jose A. Cabrera,32,12,0,1,8,"$24,615 ",$769 ,0%,28%,2017
Robert B. McCutchen,5,5,0,2,0,"$24,603 ","$4,921 ",0%,40%,2017
Edward Joe Thompson,62,10,1,3,9,"$24,590 ",$397 ,2%,21%,2017
R. Kory Owens,13,4,1,1,5,"$24,585 ","$1,891 ",8%,54%,2017
Kayla Warren,34,11,3,1,7,"$24,537 ",$722 ,9%,32%,2017
John Staples,6,1,1,0,2,"$24,449 ","$4,075 ",17%,50%,2017
Christine Nunn,22,5,1,3,3,"$24,422 ","$1,110 ",5%,32%,2017
Jose Luis Galvan,58,19,1,3,8,"$24,400 ",$421 ,2%,21%,2017
Francis A. Meares,20,3,1,1,3,"$24,310 ","$1,216 ",5%,25%,2017
Marc J. Sharp,31,10,1,2,2,"$24,295 ",$784 ,3%,16%,2017
Brent Hrymak,32,5,1,7,9,"$24,290 ",$759 ,3%,53%,2017
Steve Towne,14,8,0,2,3,"$24,287 ","$1,735 ",0%,36%,2017
Duane E. Leapley,19,3,1,3,0,"$24,274 ","$1,278 ",5%,21%,2017
Luania L. Woods,15,3,3,2,2,"$24,271 ","$1,618 ",20%,47%,2017
Stephanie Eilers,23,3,3,0,1,"$24,242 ","$1,054 ",13%,17%,2017
Derek Meredith,15,6,1,1,1,"$24,240 ","$1,616 ",7%,20%,2017
Chris Jolin,18,4,2,3,1,"$24,209 ","$1,345 ",11%,33%,2017
Jackie E. Riddle,18,7,2,3,2,"$24,193 ","$1,344 ",11%,39%,2017
Alfredo Triana,11,4,3,1,1,"$24,153 ","$2,196 ",27%,45%,2017
Jose M. Morales Castillo,43,13,2,5,8,"$24,149 ",$562 ,5%,35%,2017
Juan P. Rizo,8,6,1,2,1,"$24,130 ","$3,016 ",13%,50%,2017
Timothy L. Maxey,28,7,4,0,0,"$24,124 ",$862 ,14%,14%,2017
Barbara J. Riley,35,8,2,3,8,"$24,089 ",$688 ,6%,37%,2017
David Tibbitts,13,6,2,2,0,"$24,088 ","$1,853 ",15%,31%,2017
Norma Burnam,24,9,3,5,0,"$24,072 ","$1,003 ",13%,33%,2017
Larry M. Myers,39,5,2,1,3,"$24,017 ",$616 ,5%,15%,2017
Judy Lee Behler,16,4,1,2,2,"$24,000 ","$1,500 ",6%,31%,2017
Bill Mooney,34,7,4,7,4,"$23,990 ",$706 ,12%,44%,2017
Carolyn Bradford,19,3,1,1,1,"$23,970 ","$1,262 ",5%,16%,2017
Tina Malgarini-Mawing,18,3,1,0,1,"$23,961 ","$1,331 ",6%,11%,2017
Elizabeth Ann Miller,24,6,1,3,3,"$23,960 ",$998 ,4%,29%,2017
Cindy M. Cummins,21,4,4,6,1,"$23,953 ","$1,141 ",19%,52%,2017
Julie Smith,25,5,1,3,4,"$23,947 ",$958 ,4%,32%,2017
J. Kenneth Huffman,23,7,0,2,4,"$23,939 ","$1,041 ",0%,26%,2017
David Cummings,9,5,1,3,2,"$23,935 ","$2,659 ",11%,67%,2017
R. Mike Scudder,41,9,5,10,11,"$23,868 ",$582 ,12%,63%,2017
Ronald G. Sigler,12,6,2,0,2,"$23,834 ","$1,986 ",17%,33%,2017
Sergio Fiscal,6,1,1,2,1,"$23,776 ","$3,963 ",17%,67%,2017
Bobby A. Jenkins,25,7,2,3,2,"$23,768 ",$951 ,8%,28%,2017
Gerald Zubenko III,18,3,1,1,3,"$23,757 ","$1,320 ",6%,28%,2017
Marko Mesic,16,5,0,3,0,"$23,713 ","$1,482 ",0%,19%,2017
Joyce Kielty,21,10,2,1,1,"$23,705 ","$1,129 ",10%,19%,2017
Michael A. Wells,25,15,1,3,2,"$23,705 ",$948 ,4%,24%,2017
James D. Douthall,18,2,1,3,1,"$23,660 ","$1,314 ",6%,28%,2017
"Phillip Calais, Jr.",13,4,1,2,2,"$23,655 ","$1,820 ",8%,38%,2017
Ronald W. Dailey,33,4,1,1,3,"$23,645 ",$717 ,3%,15%,2017
Thomas O'Keefe,9,3,0,2,3,"$23,622 ","$2,625 ",0%,56%,2017
Emily Szczepanski,33,13,4,1,1,"$23,620 ",$716 ,12%,18%,2017
Roopishwar Rampadarat,5,2,1,1,0,"$23,570 ","$4,714 ",20%,40%,2017
Cesar Alcala,3,3,2,0,0,"$23,550 ","$7,850 ",67%,67%,2017
Wes Fletcher,14,3,4,1,1,"$23,542 ","$1,682 ",29%,43%,2017
Paul Brent Gary,23,3,1,3,1,"$23,510 ","$1,022 ",4%,22%,2017
Jim L. Gaston,26,8,1,4,3,"$23,506 ",$904 ,4%,31%,2017
Jerry Joe Greenwell,21,6,1,3,0,"$23,469 ","$1,118 ",5%,19%,2017
Billy J. McEwen,42,9,3,2,3,"$23,450 ",$558 ,7%,19%,2017
Rowena Beck,33,11,1,5,3,"$23,438 ",$710 ,3%,27%,2017
Linda Simon,30,4,0,1,1,"$23,429 ",$781 ,0%,7%,2017
Charles A. Shockey,21,2,1,4,5,"$23,383 ","$1,113 ",5%,48%,2017
John Ahearn,35,3,2,2,2,"$23,361 ",$667 ,6%,17%,2017
Martin Lozano,11,4,0,4,1,"$23,354 ","$2,123 ",0%,45%,2017
Chad T. Skelton,13,12,2,1,1,"$23,305 ","$1,793 ",15%,31%,2017
Larry Lay,42,8,1,4,9,"$23,252 ",$554 ,2%,33%,2017
Barney Core,29,5,1,3,3,"$23,250 ",$802 ,3%,24%,2017
Tomas Hinojosa,18,5,2,7,3,"$23,239 ","$1,291 ",11%,67%,2017
Luis Olivares,13,3,0,1,3,"$23,225 ","$1,787 ",0%,31%,2017
Kevin Lewis,40,13,2,5,5,"$23,211 ",$580 ,5%,30%,2017
Elisabeth Emerson,28,6,1,4,4,"$23,209 ",$829 ,4%,32%,2017
Brenda M. Godfrey,4,2,1,1,2,"$23,190 ","$5,798 ",25%,100%,2017
Miguel Ramos Agosto,27,6,4,2,5,"$23,177 ",$858 ,15%,41%,2017
Ralph H. Mitchell,19,6,1,4,3,"$23,176 ","$1,220 ",5%,42%,2017
Alberto O. Solis,16,5,3,2,2,"$23,172 ","$1,448 ",19%,44%,2017
Bret Vickery,13,8,4,2,0,"$23,165 ","$1,782 ",31%,46%,2017
Bonnie Pittman,44,10,0,4,2,"$23,160 ",$526 ,0%,14%,2017
Lloyd Weeseekase,45,10,4,11,11,"$23,121 ",$514 ,9%,58%,2017
Ernesto Alcoverde,40,9,5,5,6,"$23,090 ",$577 ,13%,40%,2017
"Ronald T. Hale, Jr.",9,4,1,0,2,"$23,077 ","$2,564 ",11%,33%,2017
Kenneth E. Nettles,15,4,1,1,1,"$22,985 ","$1,532 ",7%,20%,2017
Roger D. Neff,14,3,1,2,1,"$22,975 ","$1,641 ",7%,29%,2017
Elise Reed,11,3,2,3,0,"$22,961 ","$2,087 ",18%,45%,2017
Greg Scott Howe,40,7,2,5,3,"$22,925 ",$573 ,5%,25%,2017
Jose D'Angelo,1,1,0,1,0,"$22,840 ","$22,840 ",0%,100%,2017
Luis Velazquez,45,8,2,5,5,"$22,820 ",$507 ,4%,27%,2017
Keith C. Dickey,6,3,1,3,0,"$22,786 ","$3,798 ",17%,67%,2017
Les Rhodes,50,9,3,3,5,"$22,748 ",$455 ,6%,22%,2017
Tracy McNeil,21,5,2,2,3,"$22,722 ","$1,082 ",10%,33%,2017
Rosann M. Anderson,15,4,1,2,1,"$22,698 ","$1,513 ",7%,27%,2017
Earl H. McCormick,32,8,1,2,5,"$22,694 ",$709 ,3%,25%,2017
Donald E. Dearth,21,4,1,1,4,"$22,680 ","$1,080 ",5%,29%,2017
Christopher Nuesch,25,5,1,2,1,"$22,675 ",$907 ,4%,16%,2017
Scott B. Clothier,24,4,2,4,1,"$22,627 ",$943 ,8%,29%,2017
Meredith Moyer,5,1,1,4,0,"$22,600 ","$4,520 ",20%,100%,2017
Les Webb,19,4,3,9,1,"$22,596 ","$1,189 ",16%,68%,2017
Juan Chavez,23,8,4,3,5,"$22,578 ",$982 ,17%,52%,2017
William P. Stites,18,8,0,3,3,"$22,549 ","$1,253 ",0%,33%,2017
C. Louis Bates,34,10,1,3,4,"$22,489 ",$661 ,3%,24%,2017
Jim Ensom,6,4,1,1,1,"$22,480 ","$3,747 ",17%,50%,2017
David L. Kinder,17,3,2,2,2,"$22,422 ","$1,319 ",12%,35%,2017
Jake E. Leger,22,5,1,3,0,"$22,390 ","$1,018 ",5%,18%,2017
John D. Leeson,13,2,1,1,2,"$22,384 ","$1,722 ",8%,31%,2017
John Poirier,19,5,7,3,4,"$22,349 ","$1,176 ",37%,74%,2017
Pablo Rios,35,8,2,8,4,"$22,340 ",$638 ,6%,40%,2017
Dawn A. Fontenot,21,6,0,4,4,"$22,291 ","$1,061 ",0%,38%,2017
Michael L. York Sr.,42,13,2,3,4,"$22,234 ",$529 ,5%,21%,2017
Adelino Negron,30,9,3,3,9,"$22,229 ",$741 ,10%,50%,2017
James E. Mattingly,13,5,1,3,1,"$22,225 ","$1,710 ",8%,38%,2017
Martin M. Meza,23,8,2,0,4,"$22,220 ",$966 ,9%,26%,2017
"Paul Lebsock, Jr.",40,9,3,1,2,"$22,203 ",$555 ,8%,15%,2017
Giuseppe Santulli,20,7,2,1,4,"$22,154 ","$1,108 ",10%,35%,2017
Charles D. Mullins,6,1,2,1,2,"$22,144 ","$3,691 ",33%,83%,2017
Lilith E. Boucher,16,8,1,4,0,"$22,136 ","$1,384 ",6%,31%,2017
Robert J. Pincins,10,3,1,2,3,"$22,129 ","$2,213 ",10%,60%,2017
Jose Chavez,23,10,0,4,2,"$22,090 ",$960 ,0%,26%,2017
Ramon Minguet,5,1,1,2,1,"$22,070 ","$4,414 ",20%,80%,2017
Miguel A. Jimenez,47,12,0,2,9,"$22,067 ",$470 ,0%,23%,2017
Mary Boyle,42,7,4,9,7,"$22,037 ",$525 ,10%,48%,2017
Paul H. Roggenkamp,12,2,2,1,2,"$21,957 ","$1,830 ",17%,42%,2017
Sherry Vanden Berg,15,6,4,4,3,"$21,885 ","$1,459 ",27%,73%,2017
Robert James Gherardi,10,3,2,1,1,"$21,884 ","$2,188 ",20%,40%,2017
Jose Luis Vargas,9,5,2,2,3,"$21,816 ","$2,424 ",22%,78%,2017
Bob G. Dunham,12,4,0,1,3,"$21,783 ","$1,815 ",0%,33%,2017
David Rodriguez,65,10,1,1,4,"$21,772 ",$335 ,2%,9%,2017
Debbie L. Brooks,46,11,1,4,3,"$21,688 ",$471 ,2%,17%,2017
Lynette Baldwin,31,8,1,4,4,"$21,688 ",$700 ,3%,29%,2017
Camille Telford,12,3,2,5,0,"$21,627 ","$1,802 ",17%,58%,2017
Daniel F. Brafford,13,5,1,1,2,"$21,610 ","$1,662 ",8%,31%,2017
Richard J. Hendriks,12,8,2,1,1,"$21,560 ","$1,797 ",17%,33%,2017
Michael T. Harris,7,5,1,2,1,"$21,525 ","$3,075 ",14%,57%,2017
"Rosemary Homeister, Sr.",17,8,1,3,1,"$21,520 ","$1,266 ",6%,29%,2017
Betty Rader-Thompson,34,3,1,2,3,"$21,513 ",$633 ,3%,18%,2017
Kathy McNally,23,9,7,4,2,"$21,472 ",$934 ,30%,57%,2017
Gordon Saleem,27,10,2,1,0,"$21,457 ",$795 ,7%,11%,2017
Scotty McNair,11,4,1,0,2,"$21,452 ","$1,950 ",9%,27%,2017
Neville Henry,24,4,1,3,4,"$21,442 ",$893 ,4%,33%,2017
Kevin Chandler,15,2,3,2,3,"$21,440 ","$1,429 ",20%,53%,2017
Bernie A. Leyba,41,8,1,1,6,"$21,394 ",$522 ,2%,20%,2017
Victor Olivo,2,1,1,0,0,"$21,390 ","$10,695 ",50%,50%,2017
Wayne Slater,50,12,5,8,9,"$21,385 ",$428 ,10%,44%,2017
James M. Day,14,6,2,1,0,"$21,384 ","$1,527 ",14%,21%,2017
Donald Plaisance,34,7,1,2,3,"$21,375 ",$629 ,3%,18%,2017
Joseph F. Russo,13,4,1,1,1,"$21,340 ","$1,642 ",8%,23%,2017
Cheryl Lankford,4,1,1,0,0,"$21,315 ","$5,329 ",25%,25%,2017
Chris Babiy,42,7,6,5,6,"$21,313 ",$507 ,14%,40%,2017
Sam L. Neubuhr,54,10,6,10,4,"$21,309 ",$395 ,11%,37%,2017
Thomas H. Feebeck,40,9,2,4,5,"$21,308 ",$533 ,5%,28%,2017
Fred J. Chinn,14,3,3,0,1,"$21,279 ","$1,520 ",21%,29%,2017
Darrell E. Alvey,34,7,1,5,5,"$21,273 ",$626 ,3%,32%,2017
G. Dharma Khalsa,9,5,4,4,0,"$21,265 ","$2,363 ",44%,89%,2017
Ulysses Matos,20,8,1,0,3,"$21,220 ","$1,061 ",5%,20%,2017
Carl E. Bigelow,18,3,3,0,3,"$21,212 ","$1,178 ",17%,33%,2017
Floyd Buffalo,31,11,6,1,11,"$21,190 ",$684 ,19%,58%,2017
Tonya M. O'Neill,26,5,1,0,4,"$21,166 ",$814 ,4%,19%,2017
Larry Grieve,10,3,2,0,0,"$21,160 ","$2,116 ",20%,20%,2017
Al Hanson,31,8,5,0,5,"$21,147 ",$682 ,16%,32%,2017
Matthew T. Hartman,8,8,0,1,2,"$21,129 ","$2,641 ",0%,38%,2017
Terry Berns,6,1,2,1,1,"$21,119 ","$3,520 ",33%,67%,2017
Alvin Brent Taylor,5,1,1,1,1,"$21,112 ","$4,222 ",20%,60%,2017
Bonnie Lynne Peltier,23,5,2,3,4,"$21,093 ",$917 ,9%,39%,2017
Shane Meche,21,4,1,4,1,"$21,085 ","$1,004 ",5%,29%,2017
Peter Carter,48,15,1,2,6,"$21,045 ",$438 ,2%,19%,2017
Renaldo Richards,21,4,1,1,3,"$21,045 ","$1,002 ",5%,24%,2017
Burl D. McBride,23,7,0,2,1,"$21,043 ",$915 ,0%,13%,2017
Melvin Widenmaier,8,3,3,0,1,"$21,015 ","$2,627 ",38%,50%,2017
Adolfo J. Exposito,26,6,3,0,2,"$21,014 ",$808 ,12%,19%,2017
Sharon Balcom,34,9,2,5,3,"$20,992 ",$617 ,6%,29%,2017
Don Stemmans,19,4,2,1,1,"$20,910 ","$1,101 ",11%,21%,2017
Alvin Sider,23,7,1,2,4,"$20,910 ",$909 ,4%,30%,2017
Garland Goins,7,2,0,3,0,"$20,900 ","$2,986 ",0%,43%,2017
Craig P. Nicholson,9,4,1,0,1,"$20,876 ","$2,320 ",11%,22%,2017
Barry Mackaben,14,6,0,1,4,"$20,870 ","$1,491 ",0%,36%,2017
Preston Adams,14,6,1,0,2,"$20,830 ","$1,488 ",7%,21%,2017
James E. Cranwell,13,2,3,5,0,"$20,810 ","$1,601 ",23%,62%,2017
Charles J. Abernathy,28,8,1,2,3,"$20,799 ",$743 ,4%,21%,2017
Ramon D. Gallegos,17,4,2,3,2,"$20,796 ","$1,223 ",12%,41%,2017
Battulga Gur,16,3,2,2,1,"$20,793 ","$1,300 ",13%,31%,2017
Gwendolyn K. Crosser,18,13,1,4,3,"$20,782 ","$1,155 ",6%,44%,2017
Jeff K. Story,17,4,2,2,0,"$20,742 ","$1,220 ",12%,24%,2017
Guy Kling,25,6,3,2,3,"$20,721 ",$829 ,12%,32%,2017
Felix Maldonado,40,6,1,6,4,"$20,708 ",$518 ,3%,28%,2017
Angel Gonzalez,15,4,2,1,2,"$20,688 ","$1,379 ",13%,33%,2017
Esteban Martinez,17,10,2,2,3,"$20,685 ","$1,217 ",12%,41%,2017
"Carlos R. Figueroa, Jr.",5,2,1,0,0,"$20,644 ","$4,129 ",20%,20%,2017
Edward T. Schottroffe,33,10,0,2,4,"$20,638 ",$625 ,0%,18%,2017
Pedro L. Lopez,54,18,1,6,6,"$20,633 ",$382 ,2%,24%,2017
Marcus Kocijan,25,8,4,2,2,"$20,603 ",$824 ,16%,32%,2017
Gail Hughes,4,1,1,0,0,"$20,602 ","$5,151 ",25%,25%,2017
William E. Deaton,9,4,1,1,0,"$20,590 ","$2,288 ",11%,22%,2017
Marjorie A. Paterson,17,3,3,2,4,"$20,585 ","$1,211 ",18%,53%,2017
Steve Townley,6,1,1,0,2,"$20,479 ","$3,413 ",17%,50%,2017
Brian Wiese,14,2,2,4,1,"$20,474 ","$1,462 ",14%,50%,2017
Harold Burbank,43,9,5,6,7,"$20,461 ",$476 ,12%,42%,2017
Don Senebald,34,7,1,2,7,"$20,455 ",$602 ,3%,29%,2017
Shannon Ritter,11,4,2,1,2,"$20,435 ","$1,858 ",18%,45%,2017
Randy Pfeifer,31,7,1,0,2,"$20,430 ",$659 ,3%,10%,2017
Shelly Green,23,3,0,7,3,"$20,392 ",$887 ,0%,43%,2017
Ricardo E. Legall,13,3,0,1,1,"$20,370 ","$1,567 ",0%,15%,2017
Jerred Mitchell,18,10,2,4,4,"$20,362 ","$1,131 ",11%,56%,2017
Robert Thrash,18,6,2,2,0,"$20,350 ","$1,131 ",11%,22%,2017
Carlos Cruz Lopez,9,4,1,0,2,"$20,335 ","$2,259 ",11%,33%,2017
Christine Bowman White,17,9,2,3,1,"$20,278 ","$1,193 ",12%,35%,2017
Billy Hardin,14,4,2,1,2,"$20,260 ","$1,447 ",14%,36%,2017
David J. Rose,12,6,1,1,2,"$20,237 ","$1,686 ",8%,33%,2017
C. A. Lacie Burningham,16,2,1,2,3,"$20,225 ","$1,264 ",6%,38%,2017
Gregory A. Moore,15,4,1,1,3,"$20,225 ","$1,348 ",7%,33%,2017
Del Loveland,21,5,0,1,6,"$20,222 ",$963 ,0%,33%,2017
Rafael I. Flores,31,12,2,2,7,"$20,217 ",$652 ,6%,35%,2017
John E. Cortez,6,1,1,1,1,"$20,195 ","$3,366 ",17%,50%,2017
Warren LeBlanc,7,2,0,1,0,"$20,173 ","$2,882 ",0%,14%,2017
Alfred C. Webster,20,4,3,1,4,"$20,172 ","$1,009 ",15%,40%,2017
Steve L. Hall,19,5,4,8,4,"$20,169 ","$1,062 ",21%,84%,2017
Salvatore Meli,14,2,2,1,4,"$20,165 ","$1,440 ",14%,50%,2017
Michelle C. Brafford,10,3,2,0,1,"$20,160 ","$2,016 ",20%,30%,2017
Shelby Weintraut,11,2,1,2,1,"$20,140 ","$1,831 ",9%,36%,2017
"Donald L. Radcliff, Jr.",38,8,1,2,3,"$20,123 ",$530 ,3%,16%,2017
William R. Durbin,23,5,2,5,2,"$20,073 ",$873 ,9%,39%,2017
Judith Z. DiNatale,3,2,1,1,1,"$20,028 ","$6,676 ",33%,100%,2017
Allan Brown,57,17,4,3,10,"$20,012 ",$351 ,7%,30%,2017
Paul Marino,21,8,1,3,2,"$20,009 ",$953 ,5%,29%,2017
Randy Cunningham,21,8,6,4,1,"$19,932 ",$949 ,29%,52%,2017
Eduardo Falcon,17,15,2,4,3,"$19,904 ","$1,171 ",12%,53%,2017
Louis M. Capi,13,3,1,2,2,"$19,704 ","$1,516 ",8%,38%,2017
Ariane B. Wilson,31,5,1,2,2,"$19,625 ",$633 ,3%,16%,2017
Michelle Stowers,35,8,2,0,0,"$19,624 ",$561 ,6%,6%,2017
Thomas L. Zimmer,24,3,3,2,2,"$19,588 ",$816 ,13%,29%,2017
Thomas D. Lehman,9,3,2,0,1,"$19,585 ","$2,176 ",22%,33%,2017
"Ramon Vazquez, Sr.",39,4,0,4,5,"$19,565 ",$502 ,0%,23%,2017
Gary H. Lonctot,6,1,2,0,1,"$19,555 ","$3,259 ",33%,50%,2017
"Aobaldo Ramirez, Jr.",19,3,3,2,1,"$19,540 ","$1,028 ",16%,32%,2017
"Cecil Decker, Jr.",22,6,0,2,0,"$19,535 ",$888 ,0%,9%,2017
William Dowling,8,3,1,1,1,"$19,526 ","$2,441 ",13%,38%,2017
Leonard A. Espinoza,64,10,2,6,7,"$19,495 ",$305 ,3%,23%,2017
Rene Serrano,27,3,3,4,3,"$19,494 ",$722 ,11%,37%,2017
Farrel Mann,25,3,0,0,2,"$19,482 ",$779 ,0%,8%,2017
Jerry E Tillis,35,7,2,2,0,"$19,478 ",$557 ,6%,11%,2017
"Richard K. Girdley, Sr.",19,4,3,2,1,"$19,468 ","$1,025 ",16%,32%,2017
Manny A. Figueroa,41,7,2,3,6,"$19,459 ",$475 ,5%,27%,2017
Kenneth A. Person,16,6,1,1,3,"$19,454 ","$1,216 ",6%,31%,2017
Joseph A. Meyer,15,2,0,2,2,"$19,440 ","$1,296 ",0%,27%,2017
Carol Cobb,33,12,1,5,2,"$19,418 ",$588 ,3%,24%,2017
Mark A. Holden,17,4,1,4,1,"$19,385 ","$1,140 ",6%,35%,2017
Shawn Bird Rattler,32,11,5,3,7,"$19,377 ",$606 ,16%,47%,2017
"Earl Brashear, Jr.",35,7,1,2,0,"$19,369 ",$553 ,3%,9%,2017
Gary Skinner,12,2,3,0,3,"$19,350 ","$1,613 ",25%,50%,2017
